there	EX	there
is	VBZ	be
a	DT	a
scene	NN	scene
early	RB	early
in	IN	in
jakob	NN	<unknown>
the	DT	the
liar	NN	liar
that	WDT	that
hints	VBZ	hint
at	IN	at
how	WRB	how
much	RB	much
better	VB	better
it	PP	it
could	MD	could
have	VB	have
been	VBN	be
.	SENT	.
the	DT	the
scene	NN	scene
is	VBZ	be
set	VBN	set
in	IN	in
a	DT	a
jewish	JJ	Jewish
ghetto	NN	ghetto
in	IN	in
poland	NN	<unknown>
circa	IN	circa
1944	CD	@card@
,	,	,
where	WRB	where
a	DT	a
one-time	JJ	one-time
cafe	NN	cafe
proprietor	NN	proprietor
named	VBN	name
jakob	NN	<unknown>
heym	NN	<unknown>
is	VBZ	be
walking	VBG	walk
resolutely	RB	resolutely
through	IN	through
the	DT	the
streets	NNS	street
,	,	,
fists	NNS	fist
stuffed	VBD	stuff
into	IN	into
coat	NN	coat
pockets	NNS	pocket
.	SENT	.
to	TO	to
one	CD	one
side	NN	side
of	IN	of
him	PP	him
,	,	,
residents	NNS	resident
scavenge	VBP	scavenge
for	IN	for
food	NN	food
in	IN	in
the	DT	the
street	NN	street
;	:	;
to	TO	to
the	DT	the
other	JJ	other
side	NN	side
,	,	,
german	JJ	german
troops	NNS	troop
beat	VBP	beat
a	DT	a
group	NN	group
of	IN	of
jews	NNS	Jew
.	SENT	.
jakob	NN	<unknown>
,	,	,
however	RB	however
,	,	,
never	RB	never
stops	VBZ	stop
moving	VBG	move
.	SENT	.
it	PP	it
's	VBZ	be
an	DT	an
efficient	JJ	efficient
,	,	,
effective	JJ	effective
set-up	NN	set-up
for	IN	for
the	DT	the
character	NN	character
,	,	,
who	WP	who
is	VBZ	be
clearly	RB	clearly
nobody	NN	nobody
's	POS	's
idea	NN	idea
of	IN	of
a	DT	a
hero	NN	hero
at	IN	at
the	DT	the
outset	NN	outset
.	SENT	.
he	PP	he
is	VBZ	be
a	DT	a
man	NN	man
who	WP	who
has	VBZ	have
responded	VBN	respond
to	TO	to
the	DT	the
horror	NN	horror
of	IN	of
his	PP$	his
surroundings	NN	surroundings
by	IN	by
withdrawing	VBG	withdraw
from	IN	from
them	PP	them
,	,	,
excising	VBG	excise
his	PP$	his
moral	JJ	moral
peripheral	JJ	peripheral
vision	NN	vision
.	SENT	.
the	DT	the
set-up	NN	set-up
is	VBZ	be
critical	JJ	critical
because	IN	because
fate	NN	fate
will	MD	will
turn	VB	turn
jakob	NN	<unknown>
into	IN	into
a	DT	a
reluctant	JJ	reluctant
savior	NN	savior
.	SENT	.
after	IN	after
a	DT	a
visit	NN	visit
to	TO	to
a	DT	a
german	JJ	german
commandant	NN	commandant
's	POS	's
office	NN	office
and	CC	and
a	DT	a
moment	NN	moment
alone	RB	alone
with	IN	with
a	DT	a
turned-on	NN	<unknown>
radio	NN	radio
,	,	,
jakob	NN	<unknown>
learns	VBZ	learn
that		IN	that
russian	JJ	Russian
troops	NNS	troop
are	VBP	be
quite	RB	quite
near	JJ	near
.	SENT	.
when	WRB	when
he	PP	he
brings	VBZ	bring
this	DT	this
first	JJ	first
news	NN	news
of	IN	of
the	DT	the
war	NN	war
in	IN	in
years	NNS	year
to	TO	to
his	PP$	his
fellow	JJ	fellow
jews	NNS	Jew
,	,	,
they	PP	they
become	VBP	become
convinced	VBN	convince
that		IN	that
he	PP	he
must	MD	must
have	VB	have
a	DT	a
radio	NN	radio
,	,	,
which	WDT	which
is	VBZ	be
a	DT	a
punishable	JJ	punishable
offense	NN	offense
in	IN	in
the	DT	the
ghetto	NN	ghetto
.	SENT	.
the	DT	the
good	JJ	good
news	NN	news
brings	VBZ	bring
hope	NN	hope
to	TO	to
the	DT	the
ghetto	NN	ghetto
;	:	;
the	DT	the
everyday	JJ	everyday
specter	NN	specter
of	IN	of
suicide	NN	suicide
vanishes	NNS	vanish
.	SENT	.
a	DT	a
private	JJ	private
man	NN	man
of	IN	of
limited	JJ	limited
creativity	NN	creativity
finds	VBZ	find
himself	PP	himself
burdened	VBD	burden
with	IN	with
creating	VBG	create
stories	NNS	storey
of	IN	of
russian	JJ	Russian
military	JJ	military
progress	NN	progress
just	RB	just
to	TO	to
keep	VB	keep
his	PP$	his
neighbors	NNS	neighbor
alive	JJ	alive
.	SENT	.
this	DT	this
promising	JJ	promising
story	NN	story
of	IN	of
an	DT	an
ordinary	JJ	ordinary
person	NN	person
doing	VBG	do
the	DT	the
extraordinary	JJ	extraordinary
is	VBZ	be
burdened	VBN	burden
from	IN	from
the	DT	the
outset	NN	outset
by	IN	by
casting	NN	casting
:	:	:
the	DT	the
"	``	"
ordinary	JJ	ordinary
person	NN	person
"	''	"
in	IN	in
question	NN	question
,	,	,
jakob	NN	<unknown>
heym	NN	<unknown>
,	,	,
is	VBZ	be
played	VBN	play
by	IN	by
robin	NN	robin
williams	NNS	<unknown>
.	SENT	.
i	NP	i
am	VBP	be
of	IN	of
the	DT	the
depressing	JJ	depressing
opinion	NN	opinion
that		IN	that
williams	NP	Williams
is	VBZ	be
growing	VBG	grow
less	RBR	less
assured	VBN	assure
as	IN	as
an	DT	an
actor	NN	actor
in	IN	in
his	PP$	his
"	``	"
serious	JJ	serious
"	''	"
roles	NNS	role
with	IN	with
every	DT	every
passing	VBG	pass
year	NN	year
.	SENT	.
compare	VB	compare
his	PP$	his
dramatic	JJ	dramatic
scenes	NNS	scene
in	IN	in
the	DT	the
world	NN	world
according	VBG	accord
to	TO	to
garp	NN	<unknown>
and	CC	and
moscow	NN	<unknown>
on	IN	on
the	DT	the
hudson	NN	Hudson
with	IN	with
what	WP	what
dreams	NNS	dream
may	MD	may
come	VB	come
or	CC	or
patch	VB	patch
adams	NNS	<unknown>
,	,	,
and	CC	and
see	VB	see
how	WRB	how
much	RB	much
more	RBR	more
mannered	JJ	mannered
he	PP	he
has	VBZ	have
become	VBN	become
(	(	(
or	CC	or
,	,	,
at	IN	at
the	DT	the
very	RB	very
least	JJS	least
,	,	,
how	WRB	how
much	JJ	much
less	JJR	less
sensible	NN	sensible
at	IN	at
choosing	VBG	choose
material	NN	material
)	)	)
.	SENT	.
jakob	NN	<unknown>
the	DT	the
liar	NN	liar
depends	VBZ	depend
on	IN	on
the	DT	the
notion	NN	notion
that		IN	that
jakob	NN	<unknown>
has	VBZ	have
to	TO	to
struggle	VB	struggle
to	TO	to
craft	VB	craft
his	PP$	his
fictions	NNS	fiction
,	,	,
but	CC	but
williams	NP	Williams
always	RB	always
looks	VBZ	look
like	IN	like
he	PP	he
's	VBZ	be
struggling	VBG	struggle
_not_	NN	<unknown>
to	TO	to
craft	VB	craft
them	PP	them
.	SENT	.
when	WRB	when
he	PP	he
improvises	VBZ	improvise
a	DT	a
radio	NN	radio
address	NN	address
by	IN	by
winston	NN	<unknown>
churchill	NN	<unknown>
for	IN	for
ailing	VBG	ail
10-year-old	JJ	10-year-old
orphan	NN	orphan
lina	NN	<unknown>
(	(	(
hannah	NP	Hannah
taylor	NP	Taylor
gordon	NP	Gordon
)	)	)
,	,	,
he	PP	he
seems	VBZ	seem
relieved	VBN	relieve
that		IN	that
he	PP	he
can	MD	can
finally	RB	finally
get	VB	get
wacky	JJ	wacky
.	SENT	.
oh	UH	oh
yes	UH	yes
,	,	,
and	CC	and
then	RB	then
there	EX	there
's	VBZ	be
that	DT	that
little	JJ	little
girl	NN	girl
.	SENT	.
some	DT	some
viewers	NNS	viewer
will	MD	will
undoubtedly	RB	undoubtedly
consider	VB	consider
the	DT	the
hero	NN	hero
's	POS	's
fanciful	JJ	fanciful
stories	NNS	storey
for	IN	for
a	DT	a
young	JJ	young
charge	NN	charge
too	RB	too
reminiscent	JJ	reminiscent
of	IN	of
life	NN	life
is	VBZ	be
beautiful	JJ	beautiful
,	,	,
but	CC	but
those	DT	those
scenes	NNS	scene
are	VBP	be
n't	RB	n't
problematic	JJ	problematic
because	IN	because
they	PP	they
're	VBP	be
familiar	JJ	familiar
.	SENT	.
they	PP	they
're	VBP	be
problematic	JJ	problematic
because	IN	because
they	PP	they
're	VBP	be
jarring	VBG	jar
and	CC	and
distracting	VBG	distract
,	,	,
introducing	VBG	introduce
a	DT	a
cutesy	JJ	cutesy
relationship	NN	relationship
into	IN	into
a	DT	a
film	NN	film
that	WDT	that
should	MD	should
n't	RB	n't
have	VB	have
been	VBN	be
about	RB	about
cutesy	JJ	cutesy
relationships	NNS	relationship
.	SENT	.
jakob	NN	<unknown>
's	POS	's
character	NN	character
arc	NN	arc
may	MD	may
be	VB	be
about	IN	about
his	PP$	his
willingness	NN	willingness
to	TO	to
act	VB	act
for	IN	for
the	DT	the
benefit	NN	benefit
of	IN	of
others	NNS	other
,	,	,
but	CC	but
there	EX	there
are	VBP	be
plenty	NN	plenty
of	IN	of
others	NNS	other
without	IN	without
poor	JJ	poor
little	JJ	little
lina	NN	<unknown>
.	SENT	.
