there	EX	there
's	VBZ	be
a	DT	a
scene	NN	scene
early	RB	early
on	IN	on
in	IN	in
"	``	"
jawbreaker	NN	jawbreaker
"	''	"
where	WRB	where
a	DT	a
character	NN	character
utters	VBZ	utter
the	DT	the
unintentionally	RB	unintentionally
prophetic	JJ	prophetic
line	NN	line
,	,	,
"	''	"
that	WDT	that
is	VBZ	be
*	SYM	*
so	RB	so
*	SYM	*
not	RB	not
funny	JJ	funny
"	''	"
.	SENT	.
how	WRB	how
right	RB	right
she	PP	she
was	VBD	be
.	SENT	.
this	DT	this
pathetic	JJ	pathetic
tale	NN	tale
of	IN	of
three	CD	three
high-schoolers	JJ	high-schoolers
who	WP	who
accidentally	RB	accidentally
kill	VBP	kill
their	PP$	their
best	JJS	good
friend	NN	friend
in	IN	in
a	DT	a
birthday	NN	birthday
kidnapping	NN	kidnapping
prank	NN	prank
gone	VBN	go
horribly	RB	horribly
awry	RB	awry
is	VBZ	be
never	RB	never
even	RB	even
remotely	RB	remotely
funny	JJ	funny
.	SENT	.
or	CC	or
fun	NN	fun
.	SENT	.
or	CC	or
original	JJ	original
.	SENT	.
not	RB	not
content	JJ	content
with	IN	with
the	DT	the
too-obvious	JJ	<unknown>
"	``	"
heathers	NNS	heather
"	''	"
heisting	VBG	heist
,	,	,
the	DT	the
filmmakers	NNS	filmmaker
proceed	VBP	proceed
to	TO	to
lift	VB	lift
freely	RB	freely
from	IN	from
a	DT	a
staggering	JJ	staggering
variety	NN	variety
of	IN	of
sources	NNS	source
,	,	,
including	VBG	include
"	``	"
carrie	NN	<unknown>
"	''	"
,	,	,
"	''	"
bride	NN	bride
of	IN	of
frankenstein	NN	<unknown>
"	''	"
,	,	,
"	``	"
blue	JJ	blue
velvet	NN	velvet
"	''	"
,	,	,
and	CC	and
even	RB	even
shaw	NN	shaw
's	POS	's
pygmalion	NN	Pygmalion
,	,	,
itself	PP	itself
recently	RB	recently
remade	VBD	remake
as	IN	as
"	``	"
she	PP	she
's	VBZ	be
all	PDT	all
that	DT	that
"	''	"
.	SENT	.
"	``	"
jawbreaker	NN	jawbreaker
"	''	"
is	VBZ	be
a	DT	a
pastiche	NN	pastiche
,	,	,
and	CC	and
not	RB	not
even	RB	even
an	DT	an
enjoyable	JJ	enjoyable
one	CD	one
.	SENT	.
i	NNS	i
find	VBP	find
it	PP	it
extremely	RB	extremely
telling	VBG	tell
that		IN	that
the	DT	the
most	RBS	most
engaging	JJ	engaging
part	NN	part
of	IN	of
the	DT	the
film	NN	film
is	VBZ	be
the	DT	the
credit	NN	credit
sequence	NN	sequence
,	,	,
a	DT	a
jawbreaker	NN	jawbreaker
factory	NN	factory
montage	NN	montage
inexplicably	RB	inexplicably
backed	VBN	back
by	IN	by
veruca	NN	<unknown>
salt	NN	salt
's	POS	's
"	``	"
volcano	NN	volcano
girls	NNS	girl
"	''	"
;	:	;
serving	VBG	serve
as	IN	as
a	DT	a
blueprint	NN	blueprint
for	IN	for
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
film	NN	film
,	,	,
the	DT	the
song	NN	song
has	VBZ	have
absolutely	RB	absolutely
nothing	NN	nothing
to	TO	to
do	VB	do
with	IN	with
the	DT	the
footage	NN	footage
we	PP	we
're	VBP	be
watching	VBG	watch
.	SENT	.
just	RB	just
close	VB	close
your	PP$	your
eyes	NNS	eye
and	CC	and
pretend	VB	pretend
you	PP	you
're	VBP	be
listening	VBG	listen
to	TO	to
an	DT	an
alt-rock	NN	<unknown>
station	NN	station
;	:	;
you	PP	you
wo	MD	wo
n't	RB	n't
be	VB	be
missing	VBG	miss
anything	NN	anything
.	SENT	.
the	DT	the
blame	NN	blame
for	IN	for
a	DT	a
mess	NN	mess
this	DT	this
big	JJ	big
has	VBZ	have
to	TO	to
be	VB	be
spread	VBN	spread
around	RP	around
among	IN	among
the	DT	the
principals	NNS	principal
.	SENT	.
rebecca	NN	<unknown>
gayheart	NN	<unknown>
,	,	,
following	VBG	follow
roles	NNS	role
in	IN	in
"	``	"
scream	NN	scream
2	CD	2
"	''	"
and	CC	and
"	``	"
urban	JJ	urban
legend	NN	legend
"	''	"
,	,	,
should	MD	should
have	VB	have
known	VBN	know
better	RBR	well
than	IN	than
to	TO	to
take	VB	take
yet	RB	yet
another	DT	another
role	NN	role
in	IN	in
yet	RB	yet
another	DT	another
teen	JJ	teen
body	NN	body
count	NN	count
movie	NN	movie
.	SENT	.
pam	NN	<unknown>
grier	NN	<unknown>
has	VBZ	have
totally	RB	totally
wasted	VBN	waste
any	DT	any
credibility	NN	credibility
she	PP	she
might	MD	might
have	VB	have
gotten	VBN	get
from	IN	from
her	PP$	her
role	NN	role
in	IN	in
quentin	NN	<unknown>
tarantino	NN	<unknown>
's	POS	's
"	``	"
jackie	NN	<unknown>
brown	NN	brown
"	''	"
.	SENT	.
and	CC	and
rose	VBD	rise
mcgowan	NP	Mcgowan
should	MD	should
just	RB	just
quit	VB	quit
acting	VBG	act
.	SENT	.
she	PP	she
has	VBZ	have
no	DT	no
charisma	NN	charisma
,	,	,
no	DT	no
presence	NN	presence
,	,	,
and	CC	and
no	DT	no
acting	VBG	act
skills	NNS	skill
other	JJ	other
than	IN	than
rolling	VBG	roll
her	PP$	her
eyes	NNS	eye
and	CC	and
looking	VBG	look
disaffected	JJ	disaffected
.	SENT	.
mcgowan	NP	Mcgowan
manages	VBZ	manage
to	TO	to
be	VB	be
upstaged	VBN	upstage
by	IN	by
her	PP$	her
real-life	JJ	real-life
boyfriend	NN	boyfriend
,	,	,
rocker	NN	rocker
marilyn	NP	Marilyn
manson	NP	Manson
,	,	,
whose	WP$	whose
fifteen	CD	fifteen
second	JJ	second
role	NN	role
here	RB	here
is	VBZ	be
far	RB	far
more	RBR	more
interesting	JJ	interesting
than	IN	than
anything	NN	anything
any	DT	any
of	IN	of
the	DT	the
"	``	"
real	JJ	real
"	''	"
actors	NNS	actor
are	VBP	be
doing	VBG	do
.	SENT	.
manson	NP	Manson
,	,	,
sans	IN	sans
trademark	NN	trademark
makeup	NN	makeup
&	CC	&
contact	NN	contact
lenses	NNS	lens
,	,	,
and	CC	and
with	IN	with
an	DT	an
obviously	RB	obviously
fake	JJ	fake
moustache	NN	moustache
,	,	,
looks	VBZ	look
eerily	RB	eerily
like	VB	like
nicholas	NNS	Nichola
cage	NN	cage
;	:	;
who	WP	who
woulda	NP	<unknown>
thunk	NP	thunk
it	PP	it
?	SENT	?
that	DT	that
crack	NN	crack
about	IN	about
direction	NN	direction
by	IN	by
committee	NN	committee
was	VBD	be
n't	RB	n't
merely	RB	merely
a	DT	a
pithy	JJ	pithy
sound-bite	NN	<unknown>
.	SENT	.
stylistically	RB	stylistically
,	,	,
thematically	RB	thematically
&	CC	&
narratively	RB	narratively
,	,	,
"	``	"
jawbreaker	NN	jawbreaker
"	''	"
is	VBZ	be
all	RB	all
over	IN	over
the	DT	the
map	NN	map
,	,	,
varying	VBG	vary
wildly	RB	wildly
in	IN	in
tone	NN	tone
&	CC	&
content	NN	content
from	IN	from
scene	NN	scene
to	TO	to
scene	NN	scene
.	SENT	.
though	RB	though
credited	VBN	credit
solely	RB	solely
to	TO	to
writer/	JJ	<unknown>
director	NN	director
darren	NN	<unknown>
stein	NN	stein
,	,	,
one	PP	one
gets	VBZ	get
the	DT	the
feeling	NN	feeling
that		IN	that
no	DT	no
two	CD	two
scenes	NNS	scene
here	RB	here
were	VBD	be
actually	RB	actually
guided	VBN	guide
by	IN	by
the	DT	the
same	JJ	same
hands	NNS	hand
.	SENT	.
if	IN	if
stein	NN	stein
was	VBD	be
indeed	RB	indeed
responsible	JJ	responsible
for	IN	for
the	DT	the
whole	NN	whole
of	IN	of
this	DT	this
atrocity	NN	atrocity
,	,	,
someone	NN	someone
needs	VBZ	need
to	TO	to
get	VB	get
the	DT	the
man	NN	man
some	DT	some
drugs	NNS	drug
,	,	,
pronto	RB	pronto
.	SENT	.
prozac	NN	<unknown>
,	,	,
lithium	NN	lithium
,	,	,
kava	NN	kava
,	,	,
ritalin	NP	Ritalin
,	,	,
something	NN	something
,	,	,
anything	NN	anything
.	SENT	.
he	PP	he
's	VBZ	be
quite	RB	quite
obviously	RB	obviously
in	IN	in
desperate	JJ	desperate
need	NN	need
of	IN	of
chemical	NN	chemical
help	NN	help
.	SENT	.
"	``	"
jawbreaker	NN	jawbreaker
"	''	"
is	VBZ	be
a	DT	a
monumental	JJ	monumental
waste	NN	waste
of	IN	of
effort	NN	effort
and	CC	and
resources	NNS	resource
,	,	,
and	CC	and
quite	RB	quite
likely	RB	likely
one	CD	one
of	IN	of
the	DT	the
single	JJ	single
worst	JJS	bad
films	NNS	film
i	NNS	i
've	VBP	have
ever	RB	ever
seen	VBN	see
.	SENT	.
to	TO	to
call	VB	call
"	``	"
jawbreaker	NN	jawbreaker
"	''	"
garbage	NN	garbage
would	MD	would
be	VB	be
to	TO	to
insult	VB	insult
garbage	NN	garbage
.	SENT	.
bad	JJ	bad
flicks	NNS	flick
