when	WRB	when
respecting	VBG	respect
a	DT	a
director	NN	director
,	,	,
you	PP	you
must	MD	must
also	RB	also
respect	VB	respect
the	DT	the
fact	NN	fact
that		IN	that
they	PP	they
are	VBP	be
not	RB	not
perfect	JJ	perfect
.	SENT	.
woody	JJ	woody
allen	NN	<unknown>
has	VBZ	have
made	VBN	make
a	DT	a
couple	NN	couple
less-than	JJ	<unknown>
good	JJ	good
films	NNS	film
,	,	,
and	CC	and
he	PP	he
's	VBZ	be
my	PP$	my
favorite	NN	favorite
.	SENT	.
even	RB	even
martin	NN	martin
scorsese	NN	<unknown>
has	VBZ	have
n't	RB	n't
had	VBN	have
a	DT	a
perfect	JJ	perfect
track	NN	track
record	NN	record
.	SENT	.
kevin	NN	<unknown>
smith	NN	smith
,	,	,
after	IN	after
a	DT	a
smashing	JJ	smashing
debut	NN	debut
with	IN	with
the	DT	the
classic	JJ	classic
"	``	"
clerks	NNS	clerk
"	''	"
stooped	VBN	stoop
as	RB	as
low	JJ	low
to	TO	to
sell-out	NN	sell-out
and	CC	and
make	VB	make
the	DT	the
dreadful	JJ	dreadful
"	``	"
mallrats	NNS	<unknown>
.	SENT	.
"	''	"
i	NNS	i
mean	VBP	mean
,	,	,
so	RB	so
far	RB	far
the	DT	the
only	JJ	only
director	NN	director
who	WP	who
's	VBZ	have
made	VBN	make
several	JJ	several
films	NNS	film
,	,	,
none	NN	none
of	IN	of
which	WDT	which
have	VBP	have
been	VBN	be
bad	JJ	bad
is	VBZ	be
richard	JJ	<unknown>
linklater	NN	<unknown>
(	(	(
"	``	"
slacker	NN	slacker
,	,	,
"	''	"
"	``	"
dazed	VBN	daze
and	CC	and
confused	VBN	confuse
,	,	,
"	''	"
"	''	"
before	IN	before
sunrise	NN	sunrise
,	,	,
"	''	"
and	CC	and
"	``	"
suburbia	NN	suburbia
"	''	"
.	SENT	.
.	SENT	.
.	SENT	.
all	DT	all
which	WDT	which
were	VBD	be
great	JJ	great
)	)	)
.	SENT	.
now	RB	now
,	,	,
i	NNS	i
adore	VBP	adore
quentin	NN	<unknown>
tarantino	NN	<unknown>
.	SENT	.
his	PP$	his
first	JJ	first
two	CD	two
films	NNS	film
were	VBD	be
classic	JJ	classic
films	NNS	film
,	,	,
the	DT	the
second	JJ	second
one	CD	one
being	NN	being
one	CD	one
of	IN	of
the	DT	the
greatest	JJS	great
films	NNS	film
of	IN	of
all	DT	all
time	NN	time
.	SENT	.
but	CC	but
1995	CD	@card@
just	RB	just
was	VBD	be
n't	RB	n't
that		IN	that
good	JJ	good
of	IN	of
a	DT	a
year	NN	year
for	IN	for
him	PP	him
.	SENT	.
he	PP	he
made	VBD	make
way	RB	way
too	RB	too
many	JJ	many
tv	NN	tv
appearances	NNS	appearance
.	SENT	.
he	PP	he
mispronounced	VBD	mispronounce
jackie	NN	<unknown>
chan	NN	<unknown>
's	POS	's
name	NN	name
on	IN	on
the	DT	the
mtv	NP	<unknown>
movie	NN	movie
awards	NNS	award
.	SENT	.
and	CC	and
he	PP	he
made	VBD	make
this	DT	this
film	NN	film
.	SENT	.
(	(	(
he	PP	he
was	VBD	be
also	RB	also
awarded	VBN	award
an	DT	an
oscar	NN	oscar
,	,	,
so	RB	so
i	NP	i
guess	NN	guess
that	WDT	that
would	MD	would
be	VB	be
a	DT	a
grand	JJ	grand
exception	NN	exception
)	)	)
.	SENT	.
robert	NP	Robert
rodriguez	NP	Rodriguez
is	VBZ	be
also	RB	also
a	DT	a
great	JJ	great
director	NN	director
;	:	;
not	RB	not
a	DT	a
brilliant	JJ	brilliant
one	CD	one
,	,	,
but	CC	but
a	DT	a
cool	JJ	cool
one	CD	one
.	SENT	.
i	NNS	i
've	VBP	have
never	RB	never
seen	VBN	see
an	DT	an
alexandre	NN	<unknown>
rockwell	NN	<unknown>
or	CC	or
allison	NN	<unknown>
anders	NNS	<unknown>
film	NN	film
,	,	,
so	RB	so
i	NP	i
ca	MD	ca
n't	RB	n't
comment	VB	comment
on	IN	on
them	PP	them
.	SENT	.
but	CC	but
in	IN	in
this	DT	this
crap	NN	crap
ensemble	NN	ensemble
director	NN	director
's	POS	's
film	NN	film
,	,	,
all	DT	all
four	CD	four
give	VBP	give
pitiful	JJ	pitiful
efforts	NNS	effort
.	SENT	.
pitiful	JJ	pitiful
for	IN	for
any	DT	any
director	NN	director
,	,	,
too	RB	too
.	SENT	.
now	RB	now
in	IN	in
all	DT	all
fairness	NN	fairness
,	,	,
ensemble	NN	ensemble
director	NN	director
pieces	NNS	piece
never	RB	never
really	RB	really
work	VB	work
out	RP	out
.	SENT	.
i	NNS	i
've	VBP	have
never	RB	never
seen	VBN	see
all	RB	all
of	IN	of
"	''	"
new	JJ	new
york	VBP	york
stories	NNS	storey
,	,	,
"	''	"
but	CC	but
have	VBP	have
heard	VBN	hear
the	DT	the
first	JJ	first
two	CD	two
films	NNS	film
,	,	,
by	IN	by
scorsese	NNS	<unknown>
and	CC	and
francis	NNS	<unknown>
ford	VBP	ford
coppola	NNS	<unknown>
are	VBP	be
crap	NN	crap
(	(	(
i	FW	i
saw	NN	saw
woody	JJ	woody
's	VBZ	be
one	CD	one
,	,	,
which	WDT	which
was	VBD	be
hilarious	JJ	hilarious
but	CC	but
not	RB	not
totally	RB	totally
up	RB	up
to	TO	to
par	NN	par
)	)	)
.	SENT	.
but	CC	but
i	NP	i
will	MD	will
rate	VB	rate
each	DT	each
film	NN	film
individually	RB	individually
and	CC	and
then	RB	then
report	VB	report
back	RB	back
to	TO	to
you	PP	you
on	IN	on
the	DT	the
overal	JJ	<unknown>
average	JJ	average
score	NN	score
of	IN	of
the	DT	the
film	NN	film
.	SENT	.
exposition	NN	exposition
:	:	:
a	DT	a
simple	JJ	simple
one	CD	one
-	:	-
a	DT	a
bellhop	NN	bellhop
,	,	,
ted	VBP	ted
(	(	(
the	DT	the
totally	RB	totally
overdone	VBN	overdo
tim	NN	<unknown>
roth	NNS	<unknown>
,	,	,
who	WP	who
's	VBZ	be
