when	WRB	when
i	NP	i
was	VBD	be
nine	CD	nine
,	,	,
i	NP	i
started	VBD	start
buying	VBG	buy
the	DT	the
coolest	JJS	cool
toy	NN	toy
figures	NNS	figure
in	IN	in
my	PP$	my
local	JJ	local
department	NN	department
store	NN	store
.	SENT	.
masters	NNS	master
of	IN	of
the	DT	the
universe	NN	universe
was	VBD	be
the	DT	the
pinnacle	NN	pinnacle
of	IN	of
what	WP	what
i	NP	i
was	VBD	be
after	IN	after
for	IN	for
action	NN	action
figures	NNS	figure
:	:	:
they	PP	they
combined	VBD	combine
science	NN	science
fiction	NN	fiction
and	CC	and
fantasy	NN	fantasy
,	,	,
had	VBD	have
cool	JJ	cool
names	NNS	name
like	IN	like
mekanek	NP	<unknown>
and	CC	and
stinkor	NP	<unknown>
and	CC	and
each	DT	each
came	VBD	come
with	IN	with
its	PP$	its
own	JJ	own
little	JJ	little
comic	JJ	comic
book	NN	book
to	TO	to
read	VB	read
.	SENT	.
of	IN	of
course	NN	course
,	,	,
the	DT	the
animated	JJ	animated
series	NN	series
produced	VBN	produce
by	IN	by
filmation	NN	<unknown>
remains	VBZ	remain
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
wildly	RB	wildly
successful	JJ	successful
television	NN	television
products	NNS	product
in	IN	in
world	NN	world
history	NN	history
.	SENT	.
given	VBN	give
the	DT	the
tremendous	JJ	tremendous
success	NN	success
of	IN	of
the	DT	the
toys	NNS	toy
and	CC	and
the	DT	the
cartoon	NN	cartoon
(	(	(
not	RB	not
to	TO	to
mention	VB	mention
its	PP$	its
moderately	RB	moderately
successful	JJ	successful
spin-off	JJ	spin-off
she-ra	NN	<unknown>
:	:	:
princess	NN	princess
of	IN	of
power	NN	power
)	)	)
,	,	,
it	PP	it
was	VBD	be
inevitable	JJ	inevitable
that		IN	that
a	DT	a
production	NN	production
company	NN	company
would	MD	would
put	VB	put
two	CD	two
and	CC	and
two	CD	two
together	RB	together
,	,	,
come	VBN	come
with	IN	with
the	DT	the
result	NN	result
of	IN	of
"	``	"
trillions	NNS	trillion
"	''	"
and	CC	and
make	VB	make
a	DT	a
live-action	NN	live-action
masters	NNS	master
movie	NN	movie
.	SENT	.
let	NN	let
's	VBZ	have
be	VB	be
blunt	JJ	blunt
:	:	:
masters	NNS	master
of	IN	of
the	DT	the
universe	NN	universe
is	VBZ	be
a	DT	a
very	RB	very
bad	JJ	bad
movie	NN	movie
.	SENT	.
the	DT	the
story	NN	story
is	VBZ	be
painfully	RB	painfully
dull	JJ	dull
and	CC	and
mind-numbingly	RB	mind-numbingly
cliched	JJ	cliched
(	(	(
hands	NNS	hand
up	IN	up
who	WP	who
*	SYM	*
would	MD	would
n't	RB	n't
*	SYM	*
guess	NN	guess
he-man	NN	he-man
and	CC	and
skeletor	NN	<unknown>
take	VBP	take
their	PP$	their
fight	NN	fight
into	IN	into
the	DT	the
real	JJ	real
world	NN	world
)	)	)
and	CC	and
is	VBZ	be
acted	VBN	act
out	RP	out
by	IN	by
either	DT	either
incredibly	RB	incredibly
untalented	JJ	untalented
actors	NNS	actor
(	(	(
dolph	NN	<unknown>
lundgren	NNS	<unknown>
as	IN	as
he-man	NN	he-man
for	IN	for
one	CD	one
)	)	)
or	CC	or
good	JJ	good
actors	NNS	actor
(	(	(
james	NNS	<unknown>
tolkan	NN	<unknown>
,	,	,
meg	NN	<unknown>
foster	JJ	foster
)	)	)
given	VBN	give
such	JJ	such
awful	JJ	awful
characters	NNS	character
and	CC	and
dialogue	NN	dialogue
that		IN	that
they	PP	they
ca	MD	ca
n't	RB	n't
help	VB	help
but	CC	but
seem	VB	seem
terrible	JJ	terrible
.	SENT	.
it	PP	it
is	VBZ	be
extremely	RB	extremely
clear	JJ	clear
that		IN	that
someone	NN	someone
making	VBG	make
the	DT	the
movie	NN	movie
wanted	VBD	want
it	PP	it
to	TO	to
be	VB	be
as	RB	as
good	JJ	good
as	IN	as
star	NN	star
wars	NNS	war
.	SENT	.
we	PP	we
have	VBP	have
the	DT	the
alien	JJ	alien
bounty	NN	bounty
hunters	NNS	hunter
,	,	,
the	DT	the
desert	NN	desert
skif	NN	<unknown>
technology	NN	technology
,	,	,
stormtrooper	NN	<unknown>
lookalikes	NNS	lookalike
and	CC	and
a	DT	a
musical	JJ	musical
score	NN	score
so	RB	so
reminiscent	JJ	reminiscent
of	IN	of
john	NN	john
williams	NP	Williams
that		IN	that
"	``	"
deja	NN	deja
vu	NN	vu
"	``	"
is	VBZ	be
too	RB	too
polite	JJ	polite
a	DT	a
term	NN	term
to	TO	to
use	VB	use
in	IN	in
describing	VBG	describe
it	PP	it
.	SENT	.
"	''	"
blatant	JJ	blatant
uninspired	JJ	uninspired
ripoff	NN	ripoff
"	''	"
would	MD	would
appear	VB	appear
more	RBR	more
appropriate	JJ	appropriate
.	SENT	.
tv	NN	tv
fans	NNS	fan
might	MD	might
want	VB	want
to	TO	to
check	VB	check
out	RP	out
courtney	NN	<unknown>
cox	NN	cox
(	(	(
monica	NN	<unknown>
in	IN	in
friends	NNS	friend
)	)	)
and	CC	and
robert	NN	<unknown>
duncan	NN	<unknown>
mcneill	NN	<unknown>
(	(	(
lt	JJ	<unknown>
paris	NNS	<unknown>
in	IN	in
star	NN	star
trek	NN	trek
:	:	:
voyager	NN	voyager
)	)	)
,	,	,
very	RB	very
early	RB	early
in	IN	in
their	PP$	their
careers	NNS	career
and	CC	and
not	RB	not
doing	VBG	do
to	TO	to
well	RB	well
in	IN	in
them	PP	them
either	RB	either
.	SENT	.
so	RB	so
in	IN	in
the	DT	the
face	NN	face
of	IN	of
such	JJ	such
mindless	JJ	mindless
sub-mediocrity	NN	<unknown>
,	,	,
is	VBZ	be
there	RB	there
anything	NN	anything
to	TO	to
make	VB	make
masters	NNS	master
of	IN	of
the	DT	the
universe	NN	universe
worth	NN	worth
watching	VBG	watch
at	IN	at
all	DT	all
?	SENT	?
yes	UH	yes
,	,	,
there	EX	there
is	VBZ	be
.	SENT	.
one	CD	one
incredible	JJ	incredible
good	JJ	good
reason	NN	reason
.	SENT	.
his	PP$	his
name	NN	name
is	VBZ	be
frank	JJ	frank
langella	NN	<unknown>
.	SENT	.
langella	NN	<unknown>
has	VBZ	have
always	RB	always
been	VBN	be
one	CD	one
of	IN	of
the	DT	the
underrated	VBN	underrate
actors	NNS	actor
of	IN	of
hollywood	NN	<unknown>
,	,	,
appearing	VBG	appear
in	IN	in
countless	JJ	countless
films	NNS	film
over	IN	over
the	DT	the
years	NNS	year
.	SENT	.
here	RB	here
he	PP	he
plays	VBZ	play
skeletor	NN	<unknown>
,	,	,
the	DT	the
villain	NN	villain
of	IN	of
the	DT	the
piece	NN	piece
.	SENT	.
dressed	VBN	dress
in	IN	in
opulent	JJ	opulent
black	JJ	black
velvet	NN	velvet
robes	NNS	robe
and	CC	and
bearing	VBG	bear
a	DT	a
skull	NN	skull
for	IN	for
a	DT	a
face	NN	face
,	,	,
he	PP	he
is	VBZ	be
one	CD	one
part	NN	part
darth	NN	<unknown>
vader	NN	<unknown>
,	,	,
one	CD	one
part	NN	part
emperor	NN	emperor
and	CC	and
two	CD	two
parts	NNS	part
grim	JJ	grim
reaper	NN	reaper
.	SENT	.
given	VBN	give
this	DT	this
character	NN	character
,	,	,
langella	NN	<unknown>
falls	VBZ	fall
right	RB	right
into	IN	into
it	PP	it
with	IN	with
style	NN	style
and	CC	and
precision	NN	precision
.	SENT	.
skeletor	NN	<unknown>
is	VBZ	be
believable	JJ	believable
,	,	,
interesting	JJ	interesting
and	CC	and
manages	VBZ	manage
to	TO	to
tread	VB	tread
the	DT	the
fine	JJ	fine
line	NN	line
between	IN	between
being	VBG	be
a	DT	a
homage	NN	homage
to	TO	to
the	DT	the
past	JJ	past
and	CC	and
startlingly	RB	startlingly
original	JJ	original
in	IN	in
his	PP$	his
own	JJ	own
right	NN	right
.	SENT	.
masters	NNS	master
of	IN	of
the	DT	the
universe	NN	universe
.	SENT	.
i	NNS	i
remember	VBP	remember
loving	VBG	love
it	PP	it
when	WRB	when
i	NP	i
was	VBD	be
eleven	NN	eleven
.	SENT	.
at	IN	at
twenty	CD	twenty
one	CD	one
it	PP	it
's	VBZ	be
difficult	JJ	difficult
to	TO	to
see	VB	see
why	WRB	why
.	SENT	.
but	CC	but
,	,	,
as	IN	as
i	NP	i
said	VBD	say
,	,	,
it	PP	it
is	VBZ	be
blessed	VBN	bless
with	IN	with
a	DT	a
superlative	JJ	superlative
villain	NN	villain
who	WP	who
makes	VBZ	make
the	DT	the
entire	JJ	entire
thing	NN	thing
worth	NN	worth
the	DT	the
tedium	NN	tedium
of	IN	of
the	DT	the
remainder	NN	remainder
.	SENT	.
besides	RB	besides
,	,	,
this	DT	this
year	NN	year
marks	VBZ	mark
the	DT	the
film	NN	film
's	POS	's
10th	JJ	10th
anniversary	NN	anniversary
.	SENT	.
watch	VB	watch
it	PP	it
with	IN	with
some	DT	some
friends	NNS	friend
for	IN	for
a	DT	a
good	JJ	good
laugh	NN	laugh
and	CC	and
celebrate	VB	celebrate
.	SENT	.
