there	EX	there
have	VBP	have
been	VBN	be
bad	JJ	bad
films	NNS	film
in	IN	in
recent	JJ	recent
years	NNS	year
:	:	:
'mr	NN	<unknown>
.	SENT	.
magoo	NP	<unknown>
'	POS	'
was	VBD	be
by	IN	by
far	RB	far
the	DT	the
worst	JJS	bad
ever	RB	ever
made	VBN	make
,	,	,
the	DT	the
spectacularly	RB	spectacularly
bad	JJ	bad
'blue	NN	<unknown>
in	IN	in
the	DT	the
face	NN	face
'	POS	'
,	,	,
the	DT	the
horrible	JJ	horrible
'baby	JJ	<unknown>
genuises	NNS	<unknown>
'	''	'
and	CC	and
now	RB	now
'i	NNS	<unknown>
woke	VBD	wake
up	RB	up
early	RB	early
the	DT	the
day	NN	day
i	NP	i
died	VBN	die
'	''	'
.	SENT	.
it	PP	it
may	MD	may
not	RB	not
however	RB	however
be	VB	be
the	DT	the
worst	JJS	bad
movie	NN	movie
made	VBD	make
but	CC	but
it	PP	it
certainly	RB	certainly
ranks	VBZ	rank
as	IN	as
one	CD	one
bad	JJ	bad
movie	NN	movie
.	SENT	.
the	DT	the
film	NN	film
's	POS	's
acting	NN	acting
(	(	(
if	IN	if
that	DT	that
's	VBZ	be
what	WP	what
you	PP	you
want	VBP	want
to	TO	to
call	VB	call
it	PP	it
)	)	)
is	VBZ	be
well	RB	well
mediocre	JJ	mediocre
to	TO	to
me	PP	me
.	SENT	.
loaded	VBN	load
with	IN	with
a	DT	a
sensational	JJ	sensational
cast	NN	cast
you	PP	you
would	MD	would
think	VB	think
that		IN	that
the	DT	the
cast	NN	cast
would	MD	would
at	IN	at
least	JJS	least
save	VB	save
the	DT	the
film	NN	film
a	DT	a
bit	NN	bit
,	,	,
boy	NN	boy
was	VBD	be
i	NP	i
wrong	JJ	wrong
.	SENT	.
after	IN	after
escaping	VBG	escape
from	IN	from
a	DT	a
mental	JJ	mental
institution	NN	institution
'the	NN	<unknown>
thief	NN	thief
'	''	'
played	VBN	play
by	IN	by
billy	NN	billy
zane	NN	<unknown>
goes	VBZ	go
out	RP	out
in	IN	in
the	DT	the
real	JJ	real
world	NN	world
and	CC	and
finds	VBZ	find
that		IN	that
it	PP	it
is	VBZ	be
pretty	RB	pretty
harsh	JJ	harsh
