when	WRB	when
i	NP	i
first	RB	first
saw	VBD	see
the	DT	the
preview	NN	preview
for	IN	for
cruel	JJ	cruel
intentions	NNS	intention
,	,	,
i	NP	i
turned	VBD	turn
to	TO	to
my	PP$	my
friend	NN	friend
and	CC	and
said	VBD	say
,	,	,
"	``	"
dangerous	JJ	dangerous
liaisons	NNS	liaison
for	IN	for
kids	NNS	kid
!	SENT	!
"	``	"
it	PP	it
was	VBD	be
clear	JJ	clear
to	TO	to
me	PP	me
that		IN	that
the	DT	the
film	NN	film
would	MD	would
be	VB	be
an	DT	an
obvious	JJ	obvious
chunk	NN	chunk
of	IN	of
plagiarized	VBN	plagiarize
nonsense	NN	nonsense
,	,	,
owing	VBG	owe
everything	NN	everything
it	PP	it
is	VBZ	be
to	TO	to
stephen	NN	<unknown>
frears	NNS	<unknown>
'	POS	'
1988	CD	@card@
masterpiece	NN	masterpiece
.	SENT	.
imagine	VB	imagine
my	PP$	my
surprise	NN	surprise
to	TO	to
see	VB	see
that	DT	that
writer/	JJ	<unknown>
director	NN	director
roger	NN	<unknown>
kumble	NN	<unknown>
has	VBZ	have
given	VBN	give
credit	NN	credit
to	TO	to
his	PP$	his
source	NN	source
material	NN	material
:	:	:
choderlos	NP	Choderlos
de	NP	de
laclos	NP	Laclos
is	VBZ	be
recognized	VBN	recognize
for	IN	for
his	PP$	his
novel	NN	novel
les	FW	les
liaisons	NNS	liaison
dangereuses	NNS	<unknown>
in	IN	in
the	DT	the
opening	NN	opening
credits	NNS	credit
.	SENT	.
and	CC	and
i	NP	i
was	VBD	be
impressed	VBN	impress
.	SENT	.
in	IN	in
fact	NN	fact
,	,	,
i	NP	i
was	VBD	be
much	RB	much
more	RBR	more
impressed	VBN	impress
with	IN	with
this	DT	this
recognition	NN	recognition
than	IN	than
with	IN	with
the	DT	the
actual	JJ	actual
film	NN	film
,	,	,
which	WDT	which
is	VBZ	be
an	DT	an
appalling	JJ	appalling
excuse	NN	excuse
for	IN	for
a	DT	a
movie	NN	movie
.	SENT	.
it	PP	it
's	VBZ	be
kiddie-porn	JJ	<unknown>
hackwork	NN	<unknown>
,	,	,
complete	JJ	complete
with	IN	with
earthy	JJ	earthy
sex-talk	NN	<unknown>
and	CC	and
fully-clothed	JJ	<unknown>
hand-jobs	NNS	<unknown>
.	SENT	.
i	NNS	i
suppose	VBP	suppose
this	DT	this
kind	NN	kind
of	IN	of
movie	NN	movie
was	VBD	be
inevitable	JJ	inevitable
;	:	;
with	IN	with
all	PDT	all
the	DT	the
teen	JJ	teen
high-school	NN	high-school
angst	NN	angst
movies	NNS	movie
coming	VBG	come
out	RP	out
,	,	,
there	EX	there
was	VBD	be
certainly	RB	certainly
room	NN	room
for	IN	for
a	DT	a
pretentious	JJ	pretentious
and	CC	and
laughable	JJ	laughable
movie	NN	movie
about	IN	about
a	DT	a
bunch	NN	bunch
of	IN	of
teenagers	NNS	teenager
who	WP	who
think	VBP	think
they	PP	they
're	VBP	be
smarter	RBR	smarter
and	CC	and
more	RBR	more
beautiful	JJ	beautiful
than	IN	than
all	PDT	all
the	DT	the
other	JJ	other
people	NNS	people
on	IN	on
earth	NN	earth
combined	VBN	combine
.	SENT	.
cruel	JJ	cruel
intentions	NNS	intention
is	VBZ	be
a	DT	a
mess	NN	mess
in	IN	in
every	DT	every
possible	JJ	possible
way	NN	way
,	,	,
and	CC	and
it	PP	it
fails	VBZ	fail
primarily	RB	primarily
in	IN	in
the	DT	the
way	NN	way
i	NP	i
expected	VBD	expect
it	PP	it
to	TO	to
:	:	:
i	NP	i
hated	VBD	hate
all	PDT	all
the	DT	the
characters	NNS	character
,	,	,
and	CC	and
i	NP	i
hate	VBP	hate
everything	NN	everything
they	PP	they
do	VBP	do
.	SENT	.
i	NP	i
also	RB	also
hate	VBP	hate
ryan	NN	<unknown>
phillippe	NN	<unknown>
,	,	,
so	RB	so
perhaps	RB	perhaps
my	PP$	my
opinion	NN	opinion
is	VBZ	be
not	RB	not
as	RB	as
objective	JJ	objective
as	IN	as
it	PP	it
could	MD	could
be	VB	be
.	SENT	.
phillippe	NN	<unknown>
plays	NNS	play
(	(	(
check	VB	check
out	RP	out
this	DT	this
name	NN	name
)	)	)
sebastian	JJ	<unknown>
valmont	NNS	<unknown>
.	SENT	.
wow	NN	wow
.	SENT	.
is	VBZ	be
n't	RB	n't
that		IN	that
a	DT	a
memorable	JJ	memorable
name	NN	name
?	SENT	?
i	NP	i
could	MD	could
just	RB	just
say	VB	say
it	PP	it
over	RP	over
and	CC	and
over	RP	over
again	RB	again
.	SENT	.
sebastian	JJ	<unknown>
valmont	NNS	<unknown>
.	SENT	.
it	PP	it
kind	RB	kind
of	IN	of
rolls	NNS	roll
off	IN	off
the	DT	the
tongue	NN	tongue
,	,	,
in	IN	in
the	DT	the
spirit	NN	spirit
of	IN	of
phrases	NNS	phrase
like	IN	like
sanguine	JJ	sanguine
vapors	NNS	vapor
and	CC	and
velvet	NN	velvet
sandwich	NN	sandwich
.	SENT	.
sebastian	NP	Sebastian
valmont	NP	Valmont
is	VBZ	be
the	DT	the
coolest	JJS	cool
guy	NN	guy
who	WP	who
ever	RB	ever
walked	VBD	walk
the	DT	the
earth	NN	earth
