when	WRB	when
the	DT	the
film	NN	film
features	VBZ	feature
richard	RB	<unknown>
lynch	VB	lynch
in	IN	in
the	DT	the
role	NN	role
of	IN	of
chief	JJ	chief
villain	NN	villain
,	,	,
you	PP	you
know	VBP	know
that		IN	that
you	PP	you
can	MD	can
expect	VB	expect
nothing	NN	nothing
more	JJR	more
than	IN	than
a	DT	a
b	NN	b
grade	NN	grade
action	NN	action
movie	NN	movie
.	SENT	.
however	RB	however
,	,	,
since	IN	since
this	DT	this
film	NN	film
also	RB	also
featured	VBD	feature
michael	NP	Michael
madsen	NP	Madsen
,	,	,
more	JJR	more
than	IN	than
capable	JJ	capable
character	NN	character
actor	NN	actor
,	,	,
this	DT	this
time	NN	time
in	IN	in
the	DT	the
role	NN	role
of	IN	of
protagonist	NN	protagonist
,	,	,
the	DT	the
author	NN	author
of	IN	of
this	DT	this
review	NN	review
decided	VBD	decide
to	TO	to
give	VB	give
the	DT	the
film	NN	film
some	DT	some
benefit	NN	benefit
of	IN	of
the	DT	the
doubt	NN	doubt
.	SENT	.
however	RB	however
,	,	,
the	DT	the
very	RB	very
first	JJ	first
scenes	NNS	scene
show	VBP	show
clear	JJ	clear
b	NN	b
grade	NN	grade
action	NN	action
credentials	NNS	credential
-	:	-
madsen	NP	Madsen
plays	VBZ	play
richard	NN	<unknown>
montana	NN	<unknown>
,	,	,
tough	JJ	tough
policeman	NN	policeman
who	WP	who
raids	VBZ	raid
a	DT	a
drug	NN	drug
warehouse	NN	warehouse
and	CC	and
make	VB	make
life	NN	life
miserable	JJ	miserable
for	IN	for
local	JJ	local
crime	NN	crime
lord	NN	lord
mario	NN	<unknown>
gio	NN	<unknown>
(	(	(
played	VBD	play
by	RB	by
lynch	VB	lynch
)	)	)
.	SENT	.
however	RB	however
,	,	,
the	DT	the
raid	NN	raid
was	VBD	be
only	RB	only
partially	RB	partially
successful	JJ	successful
,	,	,
and	CC	and
montana	NN	<unknown>
is	VBZ	be
getting	VBG	get
the	DT	the
rap	NN	rap
.	SENT	.
so	RB	so
,	,	,
he	PP	he
begins	VBZ	begin
his	PP$	his
own	JJ	own
private	JJ	private
war	NN	war
against	IN	against
gio	NN	<unknown>
,	,	,
trying	VBG	try
to	TO	to
penetrate	VB	penetrate
his	PP$	his
organisation	NN	organisation
pretending	VBG	pretend
to	TO	to
be	VB	be
corrupt	JJ	corrupt
.	SENT	.
in	IN	in
the	DT	the
process	NN	process
,	,	,
he	PP	he
meets	VBZ	meet
gio	NP	Gio
's	POS	's
mistress	NN	mistress
gina	NN	<unknown>
zamora	NN	<unknown>
(	(	(
played	VBN	play
by	IN	by
rosie	NN	Rosie
vela	NNS	velum
)	)	)
and	CC	and
starts	VBZ	start
relationship	NN	relationship
with	IN	with
her	PP	her
too	RB	too
.	SENT	.
although	IN	although
it	PP	it
does	VBZ	do
n't	RB	n't
stink	VB	stink
like	IN	like
many	JJ	many
of	IN	of
the	DT	the
similar	JJ	similar
films	NNS	film
can	MD	can
,	,	,
inside	IN	inside
edge	NN	edge
is	VBZ	be
mostly	RB	mostly
forgettable	JJ	forgettable
b	NN	b
grade	NN	grade
action	NN	action
routine	NN	routine
.	SENT	.
nobody	NN	nobody
in	IN	in
this	DT	this
film	NN	film
actually	RB	actually
puts	VBZ	put
much	JJ	much
effort	NN	effort
,	,	,
including	VBG	include
madsen	NN	<unknown>
or	CC	or
lynch	VB	lynch
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
especially	RB	especially
case	NN	case
with	IN	with
uninspired	JJ	uninspired
screenwriter	NN	screenwriter
william	NP	William
tannen	NP	Tannen
or	CC	or
director	NN	director
warren	NN	warren
clarke	NN	<unknown>
.	SENT	.
the	DT	the
only	RB	only
not	RB	not
so	RB	so
forgettable	JJ	forgettable
element	NN	element
in	IN	in
this	DT	this
film	NN	film
is	VBZ	be
presence	NN	presence
of	IN	of
former	JJ	former
supermodel	JJ	<unknown>
rosie	NN	Rosie
vela	NNS	velum
,	,	,
who	WP	who
,	,	,
apart	RB	apart
from	IN	from
showing	VBG	show
her	PP$	her
more	JJR	more
than	IN	than
impressive	JJ	impressive
looks	NNS	look
,	,	,
shows	VBZ	show
some	DT	some
of	IN	of
the	DT	the
singing	VBG	sing
talent	NN	talent
too	RB	too
.	SENT	.
however	RB	however
,	,	,
this	DT	this
is	VBZ	be
n't	RB	n't
reason	NN	reason
enough	RB	enough
for	IN	for
viewers	NNS	viewer
to	TO	to
spend	VB	spend
hour	NN	hour
and	CC	and
half	NN	half
watching	VBG	watch
a	DT	a
film	NN	film
that		IN	that
they	PP	they
would	MD	would
,	,	,
in	IN	in
most	JJS	most
likelihood	NN	likelihood
,	,	,
forget	VB	forget
the	DT	the
next	JJ	next
day	NN	day
.	SENT	.
