there	EX	there
have	VBP	have
been	VBN	be
merchant-ivory	JJ	<unknown>
costume	JJ	costume
dramas	NN	dramas
with	IN	with
more	JJR	more
of	IN	of
a	DT	a
pulse	NN	pulse
than	IN	than
"	``	"
the	DT	the
mod	JJ	mod
squad	NN	squad
,	,	,
"	''	"
a	DT	a
self-consciously	RB	self-consciously
"	``	"
hip	JJ	hip
"	''	"
cinematic	JJ	cinematic
rendering	NN	rendering
of	IN	of
the	DT	the
old	JJ	old
tv	NN	tv
series	NN	series
still	RB	still
looked	VBD	look
upon	RP	upon
fondly	RB	fondly
by	IN	by
so	RB	so
many	JJ	many
baby-boomers	NNS	baby-boomer
.	SENT	.
well	RB	well
,	,	,
said	VBD	say
"	``	"
squad	NN	squad
"	''	"
certainly	RB	certainly
wo	MD	wo
n't	RB	n't
be	VB	be
a	DT	a
pleasant	JJ	pleasant
viewing	NN	viewing
experience	NN	experience
for	IN	for
them	PP	them
or	CC	or
anybody	NN	anybody
else	RB	else
,	,	,
maybe	RB	maybe
even	RB	even
the	DT	the
teen	JJ	teen
target	NN	target
audience	NN	audience
the	DT	the
movie	NN	movie
has	VBZ	have
been	VBN	be
geared	VBN	gear
towards	IN	towards
.	SENT	.
a	DT	a
contemporary	JJ	contemporary
take	NN	take
on	IN	on
this	DT	this
decidedly	RB	decidedly
'70s	CD	'70s
show	NN	show
does	VBZ	do
n't	RB	n't
exactly	RB	exactly
seem	VB	seem
unwarranted	JJ	unwarranted
,	,	,
but	CC	but
one	CD	one
wonders	NNS	wonder
if	IN	if
the	DT	the
mold	NN	mold
it	PP	it
accumulated	VBN	accumulate
while	IN	while
waiting	VBG	wait
on	IN	on
the	DT	the
shelf	NN	shelf
did	VBD	do
n't	RB	n't
transform	VB	transform
into	IN	into
a	DT	a
full-blown	JJ	full-blown
case	NN	case
of	IN	of
botulism	NN	botulism
.	SENT	.
how	WRB	how
curious	JJ	curious
that		IN	that
the	DT	the
film	NN	film
begins	VBZ	begin
by	IN	by
defining	VBG	define
both	DT	both
mod	NN	mod
and	CC	and
squad	NN	squad
,	,	,
insisting	VBG	insist
that		IN	that
the	DT	the
latter	NN	latter
is	VBZ	be
a	DT	a
group	NN	group
of	IN	of
people	NNS	people
