there	EX	there
's	VBZ	be
no	DT	no
reason	NN	reason
to	TO	to
doubt	VB	doubt
that	DT	that
donnie	NN	<unknown>
brasco	NN	<unknown>
is	VBZ	be
based	VBN	base
,	,	,
as	IN	as
its	PP$	its
opening	NN	opening
credits	NNS	credit
proclaim	VBP	proclaim
,	,	,
on	IN	on
a	DT	a
true	JJ	true
story	NN	story
.	SENT	.
but	CC	but
if	IN	if
it	PP	it
's	VBZ	be
an	DT	an
accurate	JJ	accurate
picture	NN	picture
of	IN	of
life	NN	life
on	IN	on
america	NP	America
's	POS	's
mean	JJ	mean
streets	NNS	street
,	,	,
than	IN	than
cinematic	JJ	cinematic
depictions	NNS	depiction
of	IN	of
organised	VBN	organise
crime	NN	crime
have	VBP	have
had	VBN	have
a	DT	a
much	RB	much
stronger	JJR	strong
basis	NN	basis
in	IN	in
reality	NN	reality
than	IN	than
i	NP	i
would	MD	would
have	VB	have
previously	RB	previously
thought	VBN	think
.	SENT	.
for	IN	for
from	IN	from
the	DT	the
film	NN	film
's	POS	's
outset	NN	outset
,	,	,
when	WRB	when
a	DT	a
group	NN	group
of	IN	of
hoods	NNS	hood
jocularly	RB	jocularly
trade	VBP	trade
differing	VBG	differ
opinions	NNS	opinion
on	IN	on
the	DT	the
merits	NNS	merit
of	IN	of
various	JJ	various
automobiles	NNS	automobile
(	(	(
not	RB	not
unlike	IN	unlike
a	DT	a
number	NN	number
of	IN	of
movie	NN	movie
lowlifes	NNS	lowlife
who	WP	who
recently	RB	recently
gave	VBD	give
a	DT	a
madonna	NN	Madonna
song	NN	song
a	DT	a
close	JJ	close
reading	NN	reading
)	)	)
donnie	NN	<unknown>
brasco	NN	<unknown>
resembles	VBZ	resemble
more	RBR	more
than	IN	than
passingly	RB	<unknown>
a	DT	a
few	JJ	few
gangster	NN	gangster
flicks	NNS	flick
once	RB	once
believed	VBD	believe
to	TO	to
be	VB	be
works	NNS	work
of	IN	of
fiction	NN	fiction
.	SENT	.
our	PP$	our
eponymous	JJ	eponymous
hero	NN	hero
(	(	(
johnny	NN	johnny
depp	NN	<unknown>
)	)	)
is	VBZ	be
not	RB	not
the	DT	the
cheap	JJ	cheap
crook	NN	crook
he	PP	he
first	RB	first
appears	VBZ	appear
to	TO	to
be	VB	be
.	SENT	.
brasco	NN	<unknown>
is	VBZ	be
joseph	NN	joseph
pistone	NN	<unknown>
,	,	,
an	DT	an
undercover	JJ	undercover
fbi	NP	<unknown>
agent	NN	agent
who	WP	who
has	VBZ	have
the	DT	the
task	NN	task
of	IN	of
chumming-up	NN	<unknown>
to	TO	to
lefty	NN	lefty
(	(	(
al	NP	al
pacino	NP	Pacino
)	)	)
,	,	,
a	DT	a
seasoned	JJ	seasoned
hood	NN	hood
who	WP	who
tutors	VBZ	tutor
pistone	NN	<unknown>
in	IN	in
the	DT	the
art	NN	art
of	IN	of
being	VBG	be
a	DT	a
"	``	"
wiseguy	NN	wiseguy
"	''	"
.	SENT	.
regrettably	RB	regrettably
,	,	,
pistone	NN	<unknown>
learns	VBZ	learn
his	PP$	his
lessons	NNS	lesson
all	RB	all
too	RB	too
well	RB	well
.	SENT	.
his	PP$	his
concern	NN	concern
for	IN	for
lefty	NN	lefty
,	,	,
who	WP	who
is	VBZ	be
burdened	VBN	burden
with	IN	with
a	DT	a
heroin	NN	heroin
addicted	JJ	addicted
son	NN	son
,	,	,
exacerbates	VBZ	exacerbate
his	PP$	his
own	JJ	own
family	NN	family
troubles	NNS	trouble
:	:	:
his	PP$	his
children	NNS	child
resent	VBP	resent
his	PP$	his
lengthy	JJ	lengthy
absences	NNS	absence
and	CC	and
his	PP$	his
wife	NN	wife
fears	VBZ	fear
that		IN	that
her	PP$	her
husband	NN	husband
's	POS	's
gangster	NN	gangster
persona	NN	persona
is	VBZ	be
becoming	VBG	become
a	DT	a
little	JJ	little
too	RB	too
convincing	JJ	convincing
.	SENT	.
true	JJ	true
,	,	,
the	DT	the
focus	NN	focus
on	IN	on
pistone	NN	<unknown>
's	POS	's
family	NN	family
life	NN	life
does	VBZ	do
deviate	NN	deviate
from	IN	from
the	DT	the
typical	JJ	typical
gangster-flick	NN	<unknown>
formula	NN	formula
,	,	,
but	CC	but
this	DT	this
subplot	NN	subplot
never	RB	never
rises	VBZ	rise
above	IN	above
its	PP$	its
television	NN	television
drama	NN	drama
origins	NNS	origin
.	SENT	.
the	DT	the
unhappy	JJ	unhappy
couple	NN	couple
trade	NN	trade
predictable	JJ	predictable
lines	NNS	line
and	CC	and
engage	VB	engage
in	IN	in
drawn-out	JJ	drawn-out
domestic	JJ	domestic
squabbles	NNS	squabble
?	SENT	?
including	VBG	include
an	DT	an
ill-advised	JJ	ill-advised
marriage	NN	marriage
guidance	NN	guidance
routine	NN	routine
?	SENT	?
that	DT	that
slow	VB	slow
the	DT	the
film	NN	film
down	RB	down
unnecessarily	RB	unnecessarily
