when	WRB	when
i	NP	i
arrived	VBD	arrive
in	IN	in
paris	NNS	<unknown>
in	IN	in
june	NN	June
,	,	,
1992	CD	@card@
,	,	,
i	NP	i
was	VBD	be
surprised	VBN	surprise
to	TO	to
find	VB	find
france	NN	<unknown>
plastered	VBN	plaster
with	IN	with
posters	NNS	poster
twin	JJ	twin
peaks	NNS	peak
:	:	:
fire	NN	fire
walk	NN	walk
with	IN	with
me	PP	me
,	,	,
since	IN	since
the	DT	the
movie	NN	movie
was	VBD	be
n't	RB	n't
scheduled	VBN	schedule
to	TO	to
open	VB	open
in	IN	in
the	DT	the
u	NN	u
.	SENT	.
s	NNS	<unknown>
.	SENT	.
until	IN	until
late	RB	late
august	JJ	august
.	SENT	.
happily	RB	happily
,	,	,
the	DT	the
film--the	NN	<unknown>
prequel	NN	<unknown>
to	TO	to
david	NN	<unknown>
lynch	VBP	lynch
's	POS	's
cult	NN	cult
television	NN	television
series--was	NNS	<unknown>
playing	VBG	play
in	IN	in
a	DT	a
fancy	NN	fancy
,	,	,
thx	NN	<unknown>
theater	NN	theater
.	SENT	.
unfortunately	RB	unfortunately
,	,	,
the	DT	the
theater	NN	theater
was	VBD	be
far	RB	far
more	RBR	more
impressive	JJ	impressive
than	IN	than
the	DT	the
movie	NN	movie
,	,	,
which	WDT	which
absolutely	RB	absolutely
stinks	VBZ	stink
,	,	,
much	RB	much
like	IN	like
a	DT	a
french	JJ	French
lavatory	NN	lavatory
.	SENT	.
worse	RBR	worse
,	,	,
actually	RB	actually
.	SENT	.
fire	NN	fire
walk	NN	walk
with	IN	with
me	PP	me
(	(	(
directed	VBD	direct
by	RB	by
lynch	VB	lynch
)	)	)
will	MD	will
be	VB	be
completely	RB	completely
incomprehensible	JJ	incomprehensible
to	TO	to
anyone	NN	anyone
who	WP	who
has	VBZ	have
not	RB	not
seen	VBN	see
the	DT	the
tv	NN	tv
series	NN	series
or	CC	or
read	VB	read
"	``	"
laura	NN	<unknown>
palmer	NN	palmer
's	POS	's
secret	JJ	secret
diary	NN	diary
.	SENT	.
"	''	"
for	IN	for
"	``	"
twin	JJ	twin
peaks	NNS	peak
"	''	"
