there	EX	there
's	VBZ	be
a	DT	a
moment	NN	moment
in	IN	in
schindler	NN	<unknown>
's	POS	's
list	NN	list
when	WRB	when
a	DT	a
number	NN	number
of	IN	of
jews	NNS	Jew
are	VBP	be
trudging	VBG	trudge
through	IN	through
snow	NN	snow
,	,	,
clean	JJ	clean
and	CC	and
crisp	JJ	crisp
,	,	,
dark	JJ	dark
edges	NNS	edge
and	CC	and
frost	NN	frost
on	IN	on
the	DT	the
ground	NN	ground
.	SENT	.
one	CD	one
girl	NN	girl
waltzes	VBZ	waltz
through	RP	through
,	,	,
wearing	VBG	wear
a	DT	a
red	JJ	red
dress	NN	dress
that	WDT	that
stings	VBZ	sting
the	DT	the
eyes	NNS	eye
.	SENT	.
it	PP	it
is	VBZ	be
probably	RB	probably
the	DT	the
finest	JJS	fine
moment	NN	moment
through	IN	through
out	IN	out
the	DT	the
film	NN	film
.	SENT	.
when	WRB	when
i	NP	i
first	RB	first
saw	VBD	see
it	PP	it
i	NP	i
began	VBD	begin
to	TO	to
cry	VB	cry
,	,	,
though	IN	though
i	NP	i
could	MD	could
not	RB	not
say	VB	say
why	WRB	why
.	SENT	.
this	DT	this
landscape	NN	landscape
is	VBZ	be
the	DT	the
setting	NN	setting
of	IN	of
many	JJ	many
small	JJ	small
moments	NNS	moment
that	WDT	that
add	VBP	add
up	RP	up
to	TO	to
one	CD	one
big	JJ	big
whole	NN	whole
.	SENT	.
when	WRB	when
one	CD	one
man	NN	man
is	VBZ	be
shot	VBN	shoot
in	IN	in
the	DT	the
head	NN	head
we	PP	we
see	VBP	see
blood	NN	blood
oozing	VBG	ooze
out	RP	out
onto	IN	onto
the	DT	the
ground	NN	ground
--	:	--
so	RB	so
black	JJ	black
and	CC	and
murky	JJ	murky
,	,	,
its	PP$	its
almost	RB	almost
pomegranate	NN	pomegranate
red	NN	red
.	SENT	.
at	IN	at
another	DT	another
time	NN	time
we	PP	we
follow	VBP	follow
a	DT	a
young	JJ	young
boy	NN	boy
as	IN	as
he	PP	he
runs	VBZ	run
,	,	,
searching	VBG	search
for	IN	for
a	DT	a
hiding	VBG	hide
spot	NN	spot
before	IN	before
finally	RB	finally
squeezing	VBG	squeeze
into	IN	into
a	DT	a
toilet	NN	toilet
--	:	--
which	WDT	which
is	VBZ	be
already	RB	already
occupied	VBN	occupy
.	SENT	.
like	IN	like
so	RB	so
(	(	(
citizen	NN	citizen
kane	NN	<unknown>
,	,	,
fargo	NP	Fargo
,	,	,
the	DT	the
godfather	NN	godfather
,	,	,
the	DT	the
godfather	NN	godfather
part	NN	part
ii	NNS	<unknown>
,	,	,
greed	VBD	gree
,	,	,
)	)	)
many	JJ	many
of	IN	of
the	DT	the
greatest	JJS	great
american	NN	American
films	NNS	film
,	,	,
schindler	NN	<unknown>
's	POS	's
list	NN	list
plays	VBZ	play
with	IN	with
the	DT	the
concepts	NNS	concept
of	IN	of
money	NN	money
,	,	,
power	NN	power
,	,	,
and	CC	and
soul	NN	soul
.	SENT	.
but	CC	but
this	DT	this
is	VBZ	be
a	DT	a
movie	NN	movie
about	IN	about
a	DT	a
man	NN	man
who	WP	who
does	VBZ	do
the	DT	the
right	JJ	right
thing	NN	thing
.	SENT	.
starkly	RB	starkly
emotional	JJ	emotional
,	,	,
and	CC	and
brutally	RB	brutally
powerful	JJ	powerful
,	,	,
schindler	NN	<unknown>
's	POS	's
list	NN	list
strips	VBZ	strip
away	RB	away
everything	NN	everything
on	IN	on
the	DT	the
outset	NN	outset
and	CC	and
leaves	VBZ	leave
us	PP	us
ony	NN	<unknown>
feelings	NNS	feeling
.	SENT	.
the	DT	the
following	NN	following
that		IN	that
it	PP	it
has	VBZ	have
gained	VBN	gain
is	VBZ	be
not	RB	not
suprising	NN	suprising
--	:	--
this	DT	this
is	VBZ	be
probably	RB	probably
,	,	,
thus	RB	thus
far	RB	far
,	,	,
the	DT	the
best	JJS	good
film	NN	film
of	IN	of
the	DT	the
decade	NN	decade
.	SENT	.
steven	NP	Steven
spielberg	NP	Spielberg
has	VBZ	have
always	RB	always
been	VBN	be
a	DT	a
skilfull	JJ	<unknown>
filmmaker	NN	filmmaker
--	:	--
his	PP$	his
assured	JJ	assured
hand	NN	hand
churned	VBN	churn
out	IN	out
both	DT	both
jurassic	JJ	Jurassic
parks	NNS	park
,	,	,
jaws	NNS	jaw
,	,	,
the	DT	the
indiana	NN	<unknown>
jones	NN	<unknown>
films	NNS	film
,	,	,
and	CC	and
e	NN	e
.	SENT	.
t	NN	t
.	SENT	.
--	:	--
but	CC	but
it	PP	it
was	VBD	be
n't	RB	n't
until	IN	until
1993	CD	@card@
that		IN	that
we	PP	we
saw	VBD	see
what	WP	what
a	DT	a
brilliant	JJ	brilliant
man	NN	man
he	PP	he
can	MD	can
be	VB	be
.	SENT	.
the	DT	the
product	NN	product
of	IN	of
his	PP$	his
genuis	NN	<unknown>
is	VBZ	be
really	RB	really
something	NN	something
to	TO	to
see	VB	see
--	:	--
it	PP	it
can	MD	can
bring	VB	bring
tears	NNS	tear
to	TO	to
your	PP$	your
eyes	NNS	eye
just	RB	just
as	IN	as
it	PP	it
uplifts	VBZ	uplift
you	PP	you
.	SENT	.
throughout	RB	throughout
,	,	,
we	PP	we
sense	VBP	sense
the	DT	the
deep	JJ	deep
control	NN	control
which	WDT	which
he	PP	he
so	RB	so
masterfully	RB	masterfully
spreads	VBZ	spread
.	SENT	.
we	PP	we
watch	VBP	watch
oskar	NN	Oskar
schindler	NN	<unknown>
(	(	(
liam	NP	Liam
neeson	NP	Neeson
)	)	)
grow	VBP	grow
from	IN	from
an	DT	an
arrogant	JJ	arrogant
,	,	,
self	JJ	self
important	JJ	important
man	NN	man
who	WP	who
hires	VBZ	hire
jews	NNS	Jew
only	RB	only
to	TO	to
save	VB	save
money	NN	money
into	IN	into
a	DT	a
moving	VBG	move
figure	NN	figure
,	,	,
with	IN	with
a	DT	a
deep	JJ	deep
sense	NN	sense
of	IN	of
pride	NN	pride
and	CC	and
accomplishment	NN	accomplishment
.	SENT	.
the	DT	the
film	NN	film
requires	VBZ	require
much	RB	much
work	VB	work
,	,	,
and	CC	and
can	MD	can
be	VB	be
a	DT	a
harrowing	VBG	harrow
experience	NN	experience
--	:	--
go	VB	go
expecting	VBG	expect
a	DT	a
quick	JJ	quick
entertainment	NN	entertainment
and	CC	and
you	PP	you
'll	MD	will
be	VB	be
bitterly	RB	bitterly
dissapointed	JJ	<unknown>
.	SENT	.
it	PP	it
does	VBZ	do
reward	VB	reward
the	DT	the
patient	JJ	patient
viewer	NN	viewer
.	SENT	.
this	DT	this
is	VBZ	be
a	DT	a
mature	JJ	mature
spielberg	NN	<unknown>
,	,	,
and	CC	and
his	PP$	his
deft	JJ	deft
hands	NNS	hand
shape	VBP	shape
an	DT	an
absoloute	JJ	<unknown>
masterpiece	NN	masterpiece
.	SENT	.
this	DT	this
eqsuisite	NN	<unknown>
,	,	,
beautiful	JJ	beautiful
film	NN	film
is	VBZ	be
a	DT	a
rare	JJ	rare
gem	NN	gem
.	SENT	.
it	PP	it
does	VBZ	do
a	DT	a
good	JJ	good
job	NN	job
of	IN	of
summarizing	VBG	summarize
why	WRB	why
i	NP	i
love	NN	love
movies	NNS	movie
.	SENT	.
it	PP	it
leaves	VBZ	leave
one	CD	one
breathless	JJ	breathless
,	,	,
uplifted	VBD	uplift
,	,	,
and	CC	and
with	IN	with
much	RB	much
to	TO	to
think	VB	think
about	RB	about
.	SENT	.
afterwards	RB	afterwards
you	PP	you
can	MD	can
reflect	VB	reflect
on	IN	on
individual	JJ	individual
images	NNS	image
,	,	,
visions	NNS	vision
,	,	,
and	CC	and
people	NNS	people
.	SENT	.
laconic	JJ	laconic
,	,	,
removed	VBN	remove
,	,	,
schindler	NN	<unknown>
strides	NNS	stride
through	IN	through
the	DT	the
film	NN	film
a	DT	a
detached	JJ	detached
prescence	NN	<unknown>
who	WP	who
watches	VBZ	watch
all	RB	all
,	,	,
does	VBZ	do
much	RB	much
,	,	,
and	CC	and
leaves	VBZ	leave
feeling	VBG	feel
as	RB	as
if	IN	if
he	PP	he
could	MD	could
,	,	,
should	MD	should
,	,	,
have	VBP	have
done	VBN	do
more	RBR	more
then	RB	then
he	PP	he
did	VBD	do
and	CC	and
was	VBD	be
able	JJ	able
to	TO	to
.	SENT	.
the	DT	the
change	NN	change
seems	VBZ	seem
natural	JJ	natural
--	:	--
in	IN	in
the	DT	the
hands	NNS	hand
of	IN	of
a	DT	a
lesser	JJR	lesser
filmmaker	NN	filmmaker
,	,	,
it	PP	it
would	MD	would
be	VB	be
crude	JJ	crude
and	CC	and
would	MD	would
cheat	VB	cheat
the	DT	the
audience	NN	audience
.	SENT	.
instead	RB	instead
we	PP	we
are	VBP	be
told	VBN	tell
a	DT	a
tale	NN	tale
,	,	,
told	VBD	tell
a	DT	a
story	NN	story
.	SENT	.
the	DT	the
film	NN	film
is	VBZ	be
punishing	VBG	punish
to	TO	to
watch	VB	watch
,	,	,
