there	EX	there
's	VBZ	be
more	JJR	more
to	TO	to
a	DT	a
quilt	NN	quilt
than	IN	than
fabric	NN	fabric
and	CC	and
thread--each	NN	<unknown>
patchwork	NN	patchwork
design	NN	design
has	VBZ	have
its	PP$	its
own	JJ	own
unique	JJ	unique
story	NN	story
(	(	(
or	CC	or
stories	NNS	storey
)	)	)
to	TO	to
tell	VB	tell
.	SENT	.
in	IN	in
how	WRB	how
to	TO	to
make	VB	make
an	DT	an
american	JJ	American
quilt	NN	quilt
,	,	,
the	DT	the
first	JJ	first
hollywood	NN	<unknown>
release	NN	release
from	IN	from
australian	JJ	Australian
director	NN	director
jocelyn	NN	<unknown>
moorhouse	NN	<unknown>
(	(	(
proof	NN	proof
)	)	)
,	,	,
we	PP	we
come	VBP	come
to	TO	to
understand	VB	understand
how	WRB	how
the	DT	the
tales	NNS	tale
of	IN	of
the	DT	the
seven	CD	seven
makers	NNS	maker
imbue	VBP	imbue
their	PP$	their
creation	NN	creation
with	IN	with
passion	NN	passion
and	CC	and
vitality	NN	vitality
.	SENT	.
all	PDT	all
the	DT	the
sorrows	NNS	sorrow
,	,	,
joys	NNS	joy
,	,	,
longings	NNS	longing
,	,	,
sufferings	NNS	suffering
,	,	,
and	CC	and
loves	VBZ	love
of	IN	of
these	DT	these
women	NNS	woman
are	VBP	be
sewn	VBN	sew
into	IN	into
their	PP$	their
quilt	NN	quilt
and	CC	and
,	,	,
as	IN	as
their	PP$	their
bittersweet	JJ	bittersweet
memories	NNS	memory
are	VBP	be
given	VBN	give
expression	NN	expression
,	,	,
one	CD	one
young	JJ	young
woman	NN	woman
applies	VBZ	apply
these	DT	these
lessons	NNS	lesson
of	IN	of
the	DT	the
past	NN	past
to	TO	to
her	PP$	her
own	JJ	own
uncertain	JJ	uncertain
future	NN	future
.	SENT	.
motion	NN	motion
pictures	NNS	picture
are	VBP	be
filled	VBN	fill
with	IN	with
male	JJ	male
bonding	VBG	bond
rituals	NNS	ritual
;	:	;
how	WRB	how
to	TO	to
make	VB	make
an	DT	an
american	JJ	American
quilt	NN	quilt
presents	VBZ	present
a	DT	a
distinctly	RB	distinctly
feminine	JJ	feminine
alternative	NN	alternative
.	SENT	.
the	DT	the
"	``	"
quilting	NN	quilting
bee	NN	bee
"	``	"
consists	VBZ	consist
of	IN	of
seven	CD	seven
members	NNS	member
:	:	:
sisters	NNS	sister
gladys	NNS	<unknown>
(	(	(
ann	NP	Ann
bancroft	NP	Bancroft
)	)	)
and	CC	and
hy	JJ	<unknown>
(	(	(
ellen	NP	Ellen
burstyn	NP	Burstyn
)	)	)
;	:	;
sophia	NP	Sophia
(	(	(
lois	NN	<unknown>
smith	NN	smith
)	)	)
,	,	,
a	DT	a
woman	NN	woman
known	VBN	know
for	IN	for
frightening	JJ	frightening
children	NNS	child
;	:	;
