when	WRB	when
quentin	NN	<unknown>
tarantino	NN	<unknown>
made	VBN	make
"	``	"
pulp	NN	pulp
fiction	NN	fiction
"	''	"
,	,	,
he	PP	he
was	VBD	be
not	RB	not
only	RB	only
making	VBG	make
the	DT	the
greatest	JJS	great
film	NN	film
of	IN	of
the	DT	the
90s	NNS	<unknown>
;	:	;
he	PP	he
was	VBD	be
also	RB	also
making	VBG	make
what	WP	what
i	NNS	i
believe	VBP	believe
to	TO	to
be	VB	be
the	DT	the
most	RBS	most
influential	JJ	influential
movie	NN	movie
of	IN	of
all	DT	all
time	NN	time
.	SENT	.
but	CC	but
before	IN	before
you	PP	you
send	VBP	send
me	PP	me
hate-mail	NN	<unknown>
for	IN	for
not	RB	not
giving	VBG	give
that	DT	that
title	NN	title
to	TO	to
"	``	"
citizen	NN	citizen
kane	NN	<unknown>
"	''	"
,	,	,
hear	VB	hear
me	PP	me
out	RP	out
.	SENT	.
much	RB	much
like	IN	like
"	``	"
citizen	NN	citizen
kane	NN	<unknown>
"	''	"
,	,	,
"	``	"
pulp	NN	pulp
fiction	NN	fiction
"	``	"
has	VBZ	have
changed	VBN	change
movie	NN	movie
making	VBG	make
forever	RB	forever
.	SENT	.
but	CC	but
i	NP	i
think	VBP	think
the	DT	the
latter	NN	latter
has	VBZ	have
had	VBN	have
a	DT	a
tad	RB	tad
more	JJR	more
impact	NN	impact
.	SENT	.
"	``	"
pulp	NN	pulp
fiction	NN	fiction
"	``	"
has	VBZ	have
actually	RB	actually
ushered	VBN	usher
in	IN	in
a	DT	a
new	JJ	new
era	NN	era
of	IN	of
film	NN	film
making	NN	making
.	SENT	.
it	PP	it
has	VBZ	have
altered	VBN	alter
the	DT	the
way	NN	way
films	NNS	film
will	MD	will
be	VB	be
viewed	VBN	view
.	SENT	.
"	``	"
fiction	NN	fiction
"	''	"
has	VBZ	have
spawned	VBN	spawn
so	IN	so
many	JJ	many
imitations	NNS	imitation
,	,	,
i	NNS	i
've	VBP	have
lost	VBN	lose
count	NN	count
.	SENT	.
sure	RB	sure
,	,	,
some	DT	some
have	VBP	have
been	VBN	be
excellent	JJ	excellent
(	(	(
"	``	"
bound	JJ	bound
"	''	"
and	CC	and
"	``	"
the	DT	the
usual	JJ	usual
suspects	NNS	suspect
"	''	"
spring	NN	spring
immediately	RB	immediately
to	TO	to
mind	VB	mind
)	)	)
,	,	,
but	CC	but
any	DT	any
serious	JJ	serious
movie-goer	NN	<unknown>
recognizes	VBZ	recognize
"	``	"
pulp	NN	pulp
fiction	NN	fiction
"	''	"
as	IN	as
the	DT	the
original	JJ	original
neo-noir	NN	<unknown>
of	IN	of
the	DT	the
90s	NNS	<unknown>
.	SENT	.
in	IN	in
this	DT	this
review	NN	review
,	,	,
i	NNS	i
hope	VBP	hope
to	TO	to
change	VB	change
all	PDT	all
the	DT	the
people	NNS	people
's	POS	's
minds	NNS	mind
who	WP	who
have	VBP	have
criticized	VBN	criticize
it	PP	it
for	IN	for
it	PP	it
's	POS	's
excessive	JJ	excessive
profanity	NN	profanity
and	CC	and
violence	NN	violence
(	(	(
which	WDT	which
,	,	,
by	IN	by
the	DT	the
way	NN	way
,	,	,
is	VBZ	be
n't	RB	n't
really	RB	really
that	DT	that
graphic	JJ	graphic
)	)	)
.	SENT	.
the	DT	the
most	RBS	most
brilliant	JJ	brilliant
aspect	NN	aspect
of	IN	of
tarantino	NN	<unknown>
's	POS	's
masterpiece	NN	masterpiece
is	VBZ	be
the	DT	the
screenplay	NN	screenplay
.	SENT	.
it	PP	it
is	VBZ	be
filled	VBN	fill
with	IN	with
so	RB	so
much	JJ	much
classic	JJ	classic
dialogue	NN	dialogue
(	(	(
the	DT	the
"	``	"
quarter	NN	quarter
pounder	NN	pounder
with	IN	with
cheese	NN	cheese
"	''	"
speech	NN	speech
will	MD	will
go	VB	go
down	RP	down
in	IN	in
history	NN	history
)	)	)
,	,	,
it	PP	it
should	MD	should
be	VB	be
required	VBN	require
reading	VBG	read
for	IN	for
any	DT	any
film	NN	film
student	NN	student
,	,	,
if	IN	if
it	PP	it
is	VBZ	be
n't	RB	n't
already	RB	already
.	SENT	.
the	DT	the
story	NN	story
(	(	(
told	VBN	tell
in	IN	in
unorthodox	JJ	unorthodox
non-linear	JJ	non-linear
format	NN	format
)	)	)
centers	NNS	center
around	IN	around
three	CD	three
main	JJ	main
episodes	NNS	episode
,	,	,
all	DT	all
of	IN	of
which	WDT	which
eventually	RB	eventually
intertwine	VBP	intertwine
.	SENT	.
the	DT	the
first	JJ	first
,	,	,
titled	VBN	title
"	``	"
vincent	JJ	<unknown>
vega	NN	<unknown>
and	CC	and
marcellus	NN	<unknown>
wallace	NN	<unknown>
's	POS	's
wife	NN	wife
"	''	"
,	,	,
deals	NNS	deal
with	IN	with
a	DT	a
very	RB	very
loaded	VBN	load
john	NN	john
travolta	NN	<unknown>
(	(	(
i	NP	i
forgot	VBD	forget
to	TO	to
mention	VB	mention
the	DT	the
cool	JJ	cool
heroin	NN	heroin
shoot-up	NN	<unknown>
sequence	NN	sequence
)	)	)
taking	VBG	take
mia	NP	mia
wallace	NN	<unknown>
(	(	(
a	DT	a
star-making	JJ	<unknown>
performance	NN	performance
by	IN	by
uma	NN	<unknown>
thurman	NN	<unknown>
)	)	)
,	,	,
his	PP$	his
bosses	NNS	boss
wife	NN	wife
,	,	,
out	RB	out
on	IN	on
a	DT	a
date	NN	date
to	TO	to
a	DT	a
cool	JJ	cool
50s	JJ	<unknown>
restaurant	NN	restaurant
called	VBD	call
jack	NN	jack
rabbit	NN	rabbit
slim	JJ	slim
's	VBZ	be
.	SENT	.
they	PP	they
talk	VBP	talk
for	IN	for
a	DT	a
while	NN	while
(	(	(
with	IN	with
the	DT	the
occasional	JJ	occasional
"	``	"
uncomfortable	JJ	uncomfortable
silence	NN	silence
"	''	"
)	)	)
,	,	,
mostly	RB	mostly
about	IN	about
a	DT	a
guy	NN	guy
called	VBD	call
tony	JJ	tony
rocky	JJ	rocky
horror	NN	horror
.	SENT	.
after	IN	after
giving	VBG	give
marcellus	NN	<unknown>
'	POS	'
new	JJ	new
bride	NN	bride
a	DT	a
foot	NN	foot
massage	NN	massage
,	,	,
he	PP	he
was	VBD	be
thrown	VBN	throw
off	RP	off
a	DT	a
building	NN	building
and	CC	and
into	IN	into
a	DT	a
greenhouse	NN	greenhouse
,	,	,
giving	VBG	give
him	PP	him
a	DT	a
"	``	"
speech	NN	speech
impediment	NN	impediment
"	''	"
.	SENT	.
they	PP	they
also	RB	also
partake	VBP	partake
in	IN	in
a	DT	a
cool	JJ	cool
dance	NN	dance
contest	NN	contest
and	CC	and
end	VB	end
up	RP	up
twisting	VBG	twist
to	TO	to
the	DT	the
chuck	NN	chuck
berry	NN	berry
classic	NN	classic
"	``	"
you	PP	you
never	RB	never
can	MD	can
tell	VB	tell
"	''	"
.	SENT	.
i	NP	i
wo	MD	wo
n't	RB	n't
reveal	VB	reveal
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
story	NN	story
,	,	,
but	CC	but
i	NP	i
'll	MD	will
definitely	RB	definitely
say	VB	say
that		IN	that
it	PP	it
turns	VBZ	turn
out	RP	out
to	TO	to
be	VB	be
a	DT	a
real	JJ	real
bummer	NN	bummer
of	IN	of
a	DT	a
night	NN	night
,	,	,
despite	IN	despite
the	DT	the
cool	JJ	cool
