there	EX	there
's	VBZ	be
a	DT	a
thin	JJ	thin
line	NN	line
between	IN	between
satire	NN	satire
and	CC	and
controversy	NN	controversy
,	,	,
and	CC	and
mike	NN	mike
nichols	NNS	<unknown>
(	(	(
the	DT	the
birdcage	NN	birdcage
,	,	,
wolf	NN	wolf
)	)	)
has	VBZ	have
directed	VBN	direct
a	DT	a
sharp	JJ	sharp
and	CC	and
very	RB	very
honest	JJ	honest
look	NN	look
at	IN	at
a	DT	a
us	PP	us
presidential	JJ	presidential
election	NN	election
.	SENT	.
based	VBN	base
on	IN	on
the	DT	the
book	NN	book
written	VBN	write
by	IN	by
"	``	"
anonymous	JJ	anonymous
"	''	"
(	(	(
actually	RB	actually
former	JJ	former
"	``	"
newsweek	NN	<unknown>
"	''	"
writer	NN	writer
joe	NN	joe
klein	NN	<unknown>
)	)	)
,	,	,
john	NN	john
travolta	NN	<unknown>
plays	VBZ	play
governor	NN	governor
jack	NN	jack
stanton	NN	<unknown>
.	SENT	.
but	CC	but
he	PP	he
does	VBZ	do
n't	RB	n't
actually	RB	actually
play	VB	play
stanton	NN	<unknown>
.	SENT	.
he	PP	he
plays	VBZ	play
bill	NN	bill
clinton	NN	<unknown>
;	:	;
just	RB	just
the	DT	the
same	JJ	same
as	IN	as
emma	NN	<unknown>
thompson	NN	<unknown>
no	DT	no
doubt	NN	doubt
plays	VBZ	play
the	DT	the
first	JJ	first
lady	NN	lady
and	CC	and
billy	NN	billy
bob	NN	bob
thorton	NN	<unknown>
is	VBZ	be
the	DT	the
campaign	NN	campaign
manipulator	NN	manipulator
james	NNS	<unknown>
carville	NN	<unknown>
(	(	(
although	IN	although
the	DT	the
credits	NNS	credit
will	MD	will
of	IN	of
course	NN	course
say	VBP	say
otherwise	RB	otherwise
)	)	)
.	SENT	.
the	DT	the
film	NN	film
is	VBZ	be
taken	VBN	take
from	IN	from
the	DT	the
perspective	NN	perspective
of	IN	of
henry	NN	henry
burton	NN	burton
(	(	(
adrian	JJ	<unknown>
lester	NN	<unknown>
)	)	)
,	,	,
a	DT	a
morally	RB	morally
correct	JJ	correct
and	CC	and
somewhat	RB	somewhat
hesitant	JJ	hesitant
new	JJ	new
advisor	NN	advisor
to	TO	to
stanton	NN	<unknown>
.	SENT	.
he	PP	he
searches	VBZ	search
for	IN	for
justice	NN	justice
and	CC	and
dignity	NN	dignity
in	IN	in
the	DT	the
ugliest	JJS	ugly
possible	JJ	possible
situations	NNS	situation
,	,	,
and	CC	and
whether	IN	whether
it	PP	it
be	VB	be
keeping	VBG	keep
the	DT	the
history	NN	history
of	IN	of
his	PP$	his
boss	NN	boss
'	POS	'
pants	NNS	pant
under	IN	under
wraps	NNS	wrap
or	CC	or
contemplating	VBG	contemplate
digging	VBG	dig
up	RP	up
dirt	NN	dirt
on	IN	on
another	DT	another
politician	NN	politician
,	,	,
he	PP	he
approaches	VBZ	approach
his	PP$	his
work	NN	work
with	IN	with
a	DT	a
keen	JJ	keen
desire	NN	desire
to	TO	to
skillfully	RB	skillfully
serve	VB	serve
his	PP$	his
country	NN	country
and	CC	and
his	PP$	his
fellow	JJ	fellow
workers	NNS	worker
.	SENT	.
richard	JJ	<unknown>
jemmons	NNS	<unknown>
(	(	(
billy	NN	billy
bob	NN	bob
thorton	NN	<unknown>
)	)	)
and	CC	and
daisy	NN	daisy
green	NN	green
(	(	(
maura	NN	<unknown>
tierney	NN	<unknown>
)	)	)
team	NN	team
up	RP	up
with	IN	with
henry	NN	henry
as	IN	as
the	DT	the
would-be	JJ	would-be
president	NN	president
's	POS	's
advisors	NNS	advisor
,	,	,
and	CC	and
hire	VB	hire
lesbian	JJ	lesbian
veteran	JJ	veteran
libby	NN	<unknown>
holden	VB	holden
(	(	(
kathy	NN	<unknown>
bates	NNS	bate
)	)	)
as	IN	as
the	DT	the
campaign	NN	campaign
's	POS	's
eccentric	NN	eccentric
"	``	"
tougher	JJR	tough
than	IN	than
dirt	NN	dirt
"	''	"
incriminator	NN	incriminator
.	SENT	.
together	RB	together
they	PP	they
face	VBP	face
all	DT	all
sorts	NNS	sort
of	IN	of
sexual	JJ	sexual
allegations	NNS	allegation
,	,	,
the	DT	the
irritatingly	RB	<unknown>
discourteous	JJ	discourteous
media	NNS	medium
and	CC	and
other	JJ	other
witty	JJ	witty
politicians	NNS	politician
in	IN	in
the	DT	the
election	NN	election
race	NN	race
.	SENT	.
in	IN	in
its	PP$	its
satire	NN	satire
and	CC	and
controversy	NN	controversy
,	,	,
primary	JJ	primary
colors	NNS	color
is	VBZ	be
a	DT	a
similar	JJ	similar
film	NN	film
to	TO	to
wag	VB	wag
the	DT	the
dog	NN	dog
:	:	:
they	PP	they
both	CC	both
are	VBP	be
not	RB	not
afraid	JJ	afraid
to	TO	to
wipe	VB	wipe
their	PP$	their
noses	NNS	nose
in	IN	in
the	DT	the
nitty-gritty	NN	nitty-gritty
and	CC	and
take	VB	take
a	DT	a
bold	JJ	bold
look	NN	look
at	IN	at
something	NN	something
that	WDT	that
will	MD	will
never	RB	never
has	VBZ	have
honesty	NN	honesty
as	IN	as
a	DT	a
virtue	NN	virtue
.	SENT	.
but	CC	but
whereas	IN	whereas
wag	NN	wag
showed	VBD	show
us	PP	us
how	WRB	how
much	RB	much
affect	VB	affect
a	DT	a
few	JJ	few
people	NNS	people
can	MD	can
have	VB	have
on	IN	on
the	DT	the
media	NNS	medium
,	,	,
primary	JJ	primary
colors	NNS	color
is	VBZ	be
much	RB	much
more	RBR	more
concerned	JJ	concerned
with	IN	with
fleshing	VBG	flesh
out	IN	out
it	PP	it
's	POS	's
characters	NNS	character
,	,	,
letting	VBG	let
us	PP	us
understand	VBP	understand
what	WP	what
they	PP	they
want	VBP	want
and	CC	and
why	WRB	why
,	,	,
and	CC	and
making	VBG	make
us	PP	us
truly	RB	truly
appreciate	VBP	appreciate
the	DT	the
humanity	NN	humanity
and	CC	and
rectitude	NN	rectitude
that		IN	that
they	PP	they
graciously	RB	graciously
represent	VBP	represent
.	SENT	.
seeing	VBG	see
john	NN	john
travolta	NNS	<unknown>
play	VBP	play
bill	NN	bill
clinton	NN	<unknown>
so	RB	so
confidently	RB	confidently
and	CC	and
justly	RB	justly
is	VBZ	be
enough	JJ	enough
to	TO	to
make	VB	make
the	DT	the
film	NN	film
more	RBR	more
than	IN	than
worth	NN	worth
a	DT	a
look	NN	look
.	SENT	.
and	CC	and
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
cast	NN	cast
also	RB	also
make	VB	make
superb	JJ	superb
performances	NNS	performance
-	:	-
adrian	JJ	<unknown>
lester	NN	<unknown>
sharply	RB	sharply
portrays	VBZ	portray
the	DT	the
intellect	NN	intellect
of	IN	of
henry	NN	henry
whilst	IN	whilst
kathy	NN	<unknown>
bates	NNS	bate
is	VBZ	be
perfect	JJ	perfect
as	IN	as
the	DT	the
robust	JJ	robust
and	CC	and
energetic	JJ	energetic
libby	NNS	<unknown>
holden	VBP	holden
.	SENT	.
at	IN	at
occasions	NNS	occasion
,	,	,
you	PP	you
ca	MD	ca
n't	RB	n't
help	VB	help
but	CC	but
feel	VB	feel
that		IN	that
these	DT	these
terrific	JJ	terrific
characters	NNS	character
are	VBP	be
going	VBG	go
to	TO	to
waste	VB	waste
.	SENT	.
there	EX	there
are	VBP	be
long	JJ	long
slabs	NNS	slab
of	IN	of
time	NN	time
where	WRB	where
john	NN	john
travolta	NN	<unknown>
(	(	(
unquestionably	RB	unquestionably
the	DT	the
most	RBS	most
interesting	JJ	interesting
to	TO	to
watch	VB	watch
)	)	)
is	VBZ	be
missed	VBN	miss
from	IN	from
the	DT	the
screen	NN	screen
;	:	;
and	CC	and
since	IN	since
it	PP	it
is	VBZ	be
awkwardly	RB	awkwardly
structured	VBN	structure
as	IN	as
henry	NN	henry
's	POS	's
story	NN	story
we	PP	we
are	VBP	be
often	RB	often
forced	VBN	force
to	TO	to
watch	VB	watch
scenes	NNS	scene
that	WDT	that
perhaps	RB	perhaps
are	VBP	be
not	RB	not
so	RB	so
necessary	JJ	necessary
to	TO	to
the	DT	the
central	JJ	central
plot	NN	plot
-	:	-
or	CC	or
even	RB	even
the	DT	the
point	NN	point
of	IN	of
the	DT	the
film	NN	film
.	SENT	.
having	VBG	have
said	VBN	say
that		IN	that
,	,	,
make	VB	make
no	DT	no
mistake	NN	mistake
-	:	-
primary	JJ	primary
colors	NNS	color
is	VBZ	be
always	RB	always
enjoyable	JJ	enjoyable
to	TO	to
watch	VB	watch
.	SENT	.
but	CC	but
frequently	RB	frequently
we	PP	we
have	VBP	have
to	TO	to
ask	VB	ask
ourselves	PP	ourselves
-	:	-
exactly	RB	exactly
what	WP	what
are	VBP	be
we	PP	we
watching	VBG	watch
?	SENT	?
most	JJS	most
of	IN	of
the	DT	the
first	JJ	first
half	NN	half
of	IN	of
its	PP$	its
duration	NN	duration
is	VBZ	be
a	DT	a
lightheaded	JJ	lightheaded
look	NN	look
at	IN	at
melodramatic	JJ	melodramatic
