there	EX	there
was	VBD	be
a	DT	a
lot	NN	lot
riding	VBG	ride
on	IN	on
this	DT	this
movie	NN	movie
.	SENT	.
everyone	NN	everyone
even	RB	even
moderately	RB	moderately
interested	JJ	interested
in	IN	in
the	DT	the
"	``	"
scream	NN	scream
"	''	"
series	NN	series
was	VBD	be
dying	VBG	die
to	TO	to
know	VB	know
how	WRB	how
it	PP	it
would	MD	would
end	VB	end
.	SENT	.
what	WP	what
would	MD	would
be	VB	be
the	DT	the
"	``	"
final	JJ	final
act	NN	act
"	''	"
?	SENT	?
this	DT	this
is	VBZ	be
the	DT	the
end	NN	end
of	IN	of
an	DT	an
era	NN	era
for	IN	for
them	PP	them
,	,	,
a	DT	a
movie	NN	movie
which	WDT	which
has	VBZ	have
kept	VBN	keep
them	PP	them
up	RP	up
nights	NNS	night
searching	VBG	search
for	IN	for
clues	NNS	clue
on	IN	on
the	DT	the
internet	NN	Internet
,	,	,
talking	VBG	talk
and	CC	and
tossing	VBG	toss
around	RP	around
rumors	NNS	rumor
with	IN	with
their	PP$	their
equally	RB	equally
enthused	VBN	enthuse
buddies	NNS	buddy
,	,	,
and	CC	and
,	,	,
for	IN	for
kids	NNS	kid
under	IN	under
17	CD	@card@
,	,	,
those	DT	those
elaborate	JJ	elaborate
plots	NNS	plot
consisting	VBG	consist
of	IN	of
buying	VBG	buy
a	DT	a
ticket	NN	ticket
to	TO	to
one	CD	one
movie	NN	movie
and	CC	and
hopping	VBG	hop
into	IN	into
"	``	"
scream	NN	scream
"	''	"
while	IN	while
narrowly	RB	narrowly
escaping	VBG	escape
those	DT	those
menacing	VBG	menace
ushers	NNS	usher
who	WP	who
are	VBP	be
only	RB	only
a	DT	a
year	NN	year
or	CC	or
two	CD	two
older	JJR	old
than	IN	than
themselves	PP	themselves
.	SENT	.
no	DT	no
need	NN	need
to	TO	to
worry	VB	worry
;	:	;
"	``	"
scream	NN	scream
3	CD	3
"	''	"
is	VBZ	be
endlessly	RB	endlessly
inventive	JJ	inventive
and	CC	and
entertaining	JJ	entertaining
,	,	,
a	DT	a
fine	JJ	fine
epilogue	NN	epilogue
to	TO	to
the	DT	the
series	NN	series
that	WDT	that
made	VBD	make
kevin	NP	Kevin
williamson	NP	Williamson
a	DT	a
household	NN	household
name	NN	name
,	,	,
reinvented	VBD	reinvent
the	DT	the
horror	NN	horror
genre	NN	genre
,	,	,
and	CC	and
continued	VBD	continue
in	IN	in
the	DT	the
self-referential	JJ	self-referential
,	,	,
post-modern	NN	post-modern
tradition	NN	tradition
of	IN	of
quentin	NN	<unknown>
and	CC	and
co	NN	Co
.	SENT	.
so	RB	so
,	,	,
how	WRB	how
does	VBZ	do
the	DT	the
story	NN	story
go	VB	go
?	SENT	?
as	RB	as
opposed	VBN	oppose
to	TO	to
what	WP	what
some	DT	some
fanatical	JJ	fanatical
internet	NN	Internet
sites	NNS	site
would	MD	would
have	VB	have
you	PP	you
believe	VBP	believe
,	,	,
sidney	NP	Sidney
prescott	NP	Prescott
(	(	(
neve	NP	Neve
campbell	NP	Campbell
)	)	)
,	,	,
now	RB	now
all-grown-up	JJ	<unknown>
and	CC	and
constantly	RB	constantly
dealing	VBG	deal
with	IN	with
her	PP$	her
pass	NN	pass
in	IN	in
the	DT	the
constantly	RB	constantly
tormented	VBN	torment
sector	NN	sector
of	IN	of
her	PP$	her
psyche	NN	psyche
,	,	,
is	VBZ	be
not	RB	not
living	VBG	live
in	IN	in
hollywood	NN	<unknown>
fulfilling	VBG	fulfill
her	PP$	her
dream	NN	dream
to	TO	to
become	VB	become
an	DT	an
actress	NN	actress
,	,	,
but	CC	but
rather	RB	rather
in	IN	in
upstate	JJ	upstate
california	NN	<unknown>
,	,	,
living	VBG	live
,	,	,
understandably	RB	understandably
,	,	,
alone	RB	alone
in	IN	in
the	DT	the
confines	NNS	confine
of	IN	of
fences	NNS	fence
and	CC	and
vast	JJ	vast
security	NN	security
systems	NNS	system
.	SENT	.
she	PP	she
works	VBZ	work
at	IN	at
home	NN	home
as	IN	as
a	DT	a
crisis	NN	crisis
center	NN	center
affiliate	NN	affiliate
over	IN	over
the	DT	the
phone	NN	phone
.	SENT	.
but	CC	but
that	DT	that
?	SENT	?
?	SENT	?
?	SENT	?
s	NNS	<unknown>
not	RB	not
where	WRB	where
the	DT	the
movie	NN	movie
starts	VBZ	start
off	RP	off
.	SENT	.
instead	RB	instead
,	,	,
in	IN	in
a	DT	a
tactic	NN	tactic
that	WDT	that
reminded	VBD	remind
me	PP	me
of	IN	of
the	DT	the
somewhat	RB	somewhat
similar	JJ	similar
,	,	,
and	CC	and
conceptually	RB	conceptually
horrifying	VBG	horrify
,	,	,
sequence	NN	sequence
in	IN	in
"	``	"
eye	NN	eye
for	IN	for
an	DT	an
eye	NN	eye
"	''	"
(	(	(
1995	CD	@card@
)	)	)
,	,	,
cotton	NN	cotton
weary	JJ	weary
(	(	(
liev	NP	<unknown>
schreiber	NP	Schreiber
)	)	)
,	,	,
now	RB	now
a	DT	a
big	JJ	big
star	NN	star
,	,	,
drives	VBZ	drive
home	NN	home
to	TO	to
his	PP$	his
girlfriend	NN	girlfriend
in	IN	in
traffic	NN	traffic
when	WRB	when
the	DT	the
killer	NN	killer
calls	VBZ	call
,	,	,
demands	VBZ	demand
the	DT	the
location	NN	location
of	IN	of
sidney	NP	Sidney
?	SENT	?
?	SENT	?
?	SENT	?
s	JJ	<unknown>
home	NN	home
,	,	,
and	CC	and
,	,	,
when	WRB	when
he	PP	he
doesn	NN	<unknown>
?	SENT	?
?	SENT	?
?	SENT	?
t	NN	t
get	VB	get
it	PP	it
,	,	,
threatens	VBZ	threaten
the	DT	the
life	NN	life
of	IN	of
cotton	NN	cotton
?	SENT	?
?	SENT	?
?	SENT	?
s	JJ	<unknown>
girlfriend	NN	girlfriend
christine	NN	<unknown>
,	,	,
and	CC	and
cotton	NN	cotton
can	MD	can
?	SENT	?
?	SENT	?
?	SENT	?
t	NN	t
do	VBP	do
anything	NN	anything
to	TO	to
stop	VB	stop
him	PP	him
.	SENT	.
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
sequence	NN	sequence
is	VBZ	be
particularly	RB	particularly
clever	JJ	clever
,	,	,
setting	VBG	set
up	RP	up
a	DT	a
constant	JJ	constant
throughout	IN	throughout
the	DT	the
picture	NN	picture
:	:	:
the	DT	the
killer	NN	killer
has	VBZ	have
a	DT	a
high-tech	JJ	high-tech
electronic	JJ	electronic
voice-changer	NN	<unknown>
that	WDT	that
tops	VBZ	top
that		IN	that
of	IN	of
the	DT	the
first	JJ	first
two	CD	two
.	SENT	.
not	RB	not
only	RB	only
does	VBZ	do
he	PP	he
sound	VBP	sound
unmistakably	RB	unmistakably
like	VB	like
talented	JJ	talented
voice-over	NN	voice-over
artist	NN	artist
roger	NN	<unknown>
jackson	NN	<unknown>
(	(	(
ha	NP	ha
,	,	,
ha	NP	ha
)	)	)
,	,	,
he	PP	he
can	MD	can
now	RB	now
easily	RB	easily
duplicate	VB	duplicate
the	DT	the
voices	NNS	voice
of	IN	of
the	DT	the
lead	JJ	lead
characters	NNS	character
,	,	,
including	VBG	include
sidney	NN	<unknown>
,	,	,
and	CC	and
the	DT	the
returned	VBN	return
gale	NN	gale
weathers	NNS	weather
(	(	(
courtney	NN	<unknown>
cox	NN	cox
arquette	NN	<unknown>
)	)	)
and	CC	and
dewey	NP	Dewey
riley	NP	Riley
(	(	(
david	NN	<unknown>
arquette	NN	<unknown>
)	)	)
.	SENT	.
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
stab	NN	stab
3	CD	3
,	,	,
the	DT	the
third	JJ	third
film-within-a-film	NN	<unknown>
based	VBN	base
around	IN	around
the	DT	the
characters	NNS	character
and	CC	and
events	NNS	event
of	IN	of
woodsboro	NN	<unknown>
and	CC	and
windsor	NN	<unknown>
college	NN	college
,	,	,
has	VBZ	have
taken	VBN	take
a	DT	a
less	RBR	less
authentic	JJ	authentic
approach	NN	approach
this	DT	this
time	NN	time
around	RB	around
in	IN	in
return	NN	return
to	TO	to
