there	EX	there
are	VBP	be
certain	JJ	certain
people	NNS	people
in	IN	in
the	DT	the
world	NN	world
who	WP	who
have	VBP	have
some	DT	some
talent	NN	talent
that		IN	that
very	RB	very
few	JJ	few
people	NNS	people
have	VBP	have
,	,	,
but	CC	but
they	PP	they
chose	VBD	choose
not	RB	not
to	TO	to
take	VB	take
advantage	NN	advantage
of	IN	of
this	DT	this
for	IN	for
some	DT	some
personal	JJ	personal
reason	NN	reason
.	SENT	.
"	''	"
good	JJ	good
will	NN	will
hunting	NN	hunting
"	``	"
is	VBZ	be
about	RB	about
one	CD	one
of	IN	of
those	DT	those
people	NNS	people
.	SENT	.
the	DT	the
will	NN	will
hunting	NN	hunting
of	IN	of
the	DT	the
(	(	(
horrible	JJ	horrible
)	)	)
title	NN	title
(	(	(
let	VB	let
's	VBZ	be
face	VB	face
it	PP	it
,	,	,
this	DT	this
film	NN	film
would	MD	would
be	VB	be
a	DT	a
bitch	NN	bitch
to	TO	to
title	NN	title
)	)	)
,	,	,
played	VBN	play
by	IN	by
co-writer	NN	<unknown>
matt	NN	matt
damon	NN	<unknown>
,	,	,
is	VBZ	be
a	DT	a
mathematical	JJ	mathematical
genius	NN	genius
.	SENT	.
he	PP	he
can	MD	can
do	VB	do
almost	RB	almost
any	DT	any
mathematical	JJ	mathematical
connundrum	NN	<unknown>
in	IN	in
about	RB	about
the	DT	the
time	NN	time
it	PP	it
takes	VBZ	take
to	TO	to
brew	VB	brew
a	DT	a
cup	NN	cup
of	IN	of
irish	JJ	Irish
cream	NN	cream
cappuccino	NN	cappuccino
.	SENT	.
and	CC	and
he	PP	he
works	VBZ	work
at	IN	at
mit	FW	mit
.	SENT	.
.	SENT	.
.	SENT	.
as	IN	as
the	DT	the
janitor	NN	janitor
.	SENT	.
one	CD	one
day	NN	day
,	,	,
the	DT	the
professor	NN	professor
of	IN	of
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
challenging	JJ	challenging
courses	NNS	course
,	,	,
proffessor	NN	<unknown>
lambeau	NN	<unknown>
(	(	(
"	``	"
breaking	VBG	break
the	DT	the
waves	NNS	wave
"	``	"
's	VBZ	be
stellan	JJ	<unknown>
skarsg	NN	<unknown>
?	SENT	?
rd	NN	<unknown>
)	)	)
,	,	,
puts	VBZ	put
a	DT	a
big	JJ	big
problem	NN	problem
on	IN	on
the	DT	the
board	NN	board
for	IN	for
his	PP$	his
students	NNS	student
to	TO	to
attempt	VB	attempt
to	TO	to
complete	VB	complete
.	SENT	.
the	DT	the
next	JJ	next
day	NN	day
,	,	,
it	PP	it
's	VBZ	be
already	RB	already
done	VBN	do
on	IN	on
the	DT	the
board	NN	board
,	,	,
but	CC	but
no	RB	no
one	CD	one
in	IN	in
his	PP$	his
class	NN	class
claims	VBZ	claim
to	TO	to
have	VB	have
done	VBN	do
it	PP	it
.	SENT	.
so	RB	so
lambeau	NN	<unknown>
puts	VBZ	put
another	DT	another
problem	NN	problem
on	IN	on
the	DT	the
board	NN	board
,	,	,
this	DT	this
time	NN	time
one	CD	one
that	WDT	that
took	VBD	take
he	PP	he
and	CC	and
his	PP$	his
colleagues	NNS	colleague
over	IN	over
two	CD	two
years	NNS	year
to	TO	to
prove	VB	prove
.	SENT	.
and	CC	and
,	,	,
duh	NP	<unknown>
,	,	,
it	PP	it
's	VBZ	be
done	VBN	do
again	RB	again
.	SENT	.
of	IN	of
course	NN	course
,	,	,
they	PP	they
catch	VBP	catch
the	DT	the
guy	NN	guy
who	WP	who
did	VBD	do
it	PP	it
red	VB	red
handed	VBN	hand
-	:	-
will	MD	will
.	SENT	.
before	IN	before
lambeau	NN	<unknown>
can	MD	can
find	VB	find
will	MD	will
again	RB	again
(	(	(
he	PP	he
ran	VBD	run
away	RB	away
when	WRB	when
he	PP	he
caught	VBD	catch
him	PP	him
)	)	)
,	,	,
will	NN	will
has	VBZ	have
gotten	VBN	get
into	IN	into
a	DT	a
fight	NN	fight
with	IN	with
a	DT	a
bunch	NN	bunch
of	IN	of
punks	NNS	punk
on	IN	on
a	DT	a
basketball	NN	basketball
court	NN	court
,	,	,
and	CC	and
struck	VBD	strike
a	DT	a
police	NN	police
officer	NN	officer
,	,	,
so	RB	so
lambeau	NN	<unknown>
gets	VBZ	get
him	PP	him
out	RP	out
on	IN	on
probation	NN	probation
with	IN	with
two	CD	two
agreements	NNS	agreement
:	:	:
a	DT	a
)	)	)
he	PP	he
work	VBP	work
with	IN	with
him	PP	him
on	IN	on
math	NN	math
,	,	,
and	CC	and
b	LS	b
)	)	)
he	PP	he
get	VBP	get
some	DT	some
therapy	NN	therapy
.	SENT	.
after	IN	after
going	VBG	go
through	IN	through
some	DT	some
therapists	NNS	therapist
whom	WP	whom
he	PP	he
psyches	VBZ	psych
out	RP	out
in	IN	in
one	CD	one
way	NN	way
or	CC	or
another	DT	another
(	(	(
for	IN	for
a	DT	a
hypnotist	NN	hypnotist
,	,	,
he	PP	he
fakes	VBZ	fake
being	JJ	being
under	IN	under
his	PP$	his
spell	NN	spell
,	,	,
then	RB	then
launches	VBZ	launch
into	IN	into
an	DT	an
impromptu	JJ	impromptu
performance	NN	performance
of	IN	of
the	DT	the
70s	JJ	<unknown>
classic	NN	classic
,	,	,
"	``	"
afternoon	NN	afternoon
delight	NN	delight
"	''	"
)	)	)
.	SENT	.
finally	RB	finally
,	,	,
lambeau	NP	Lambeau
's	POS	's
old	JJ	old
college	NN	college
roomate	NN	<unknown>
,	,	,
sean	JJ	<unknown>
mcguire	NP	Mcguire
(	(	(
robin	NN	robin
williams	NP	Williams
)	)	)
,	,	,
a	DT	a
psych	VBP	psych
professor	NN	professor
,	,	,
agrees	VBZ	agree
to	TO	to
treat	VB	treat
him	PP	him
,	,	,
and	CC	and
the	DT	the
two	CD	two
begin	VBP	begin
a	DT	a
rocky	JJ	rocky
relationship	NN	relationship
,	,	,
as	IN	as
sean	JJ	<unknown>
tries	NNS	try
to	TO	to
get	VB	get
will	NN	will
to	TO	to
open	VB	open
up	RP	up
.	SENT	.
turns	NNS	turn
out	IN	out
will	NN	will
had	VBD	have
a	DT	a
rough	JJ	rough
childhood	NN	childhood
,	,	,
being	VBG	be
abandoned	VBN	abandon
,	,	,
and	CC	and
placed	VBN	place
in	IN	in
foster	JJ	foster
homes	NNS	home
and	CC	and
what	WP	what
not	RB	not
.	SENT	.
it	PP	it
also	RB	also
turns	VBZ	turn
out	RP	out
that		IN	that
will	NN	will
does	VBZ	do
not	RB	not
want	VB	want
to	TO	to
do	VB	do
simple	JJ	simple
mathematics	NNS	mathematics
all	PDT	all
his	PP$	his
life	NN	life
;	:	;
he	PP	he
wants	VBZ	want
a	DT	a
challenge	NN	challenge
.	SENT	.
and	CC	and
that	WDT	that
is	VBZ	be
to	TO	to
hang	VB	hang
out	RP	out
with	IN	with
his	PP$	his
buds	NNS	bud
(	(	(
including	VBG	include
the	DT	the
other	JJ	other
co-writer	NN	<unknown>
,	,	,
ben	NP	ben
affleck	NP	Affleck
)	)	)
,	,	,
and	CC	and
do	VBP	do
honorable	JJ	honorable
jobs	NNS	job
,	,	,
like	IN	like
construction	NN	construction
.	SENT	.
is	VBZ	be
it	PP	it
right	JJ	right
to	TO	to
make	VB	make
this	DT	this
genius	NN	genius
follow	VB	follow
in	IN	in
the	DT	the
footsteps	NNS	footstep
of	IN	of
einstein	NP	Einstein
and	CC	and
kasinsky	NP	<unknown>
?	SENT	?
should	MD	should
this	DT	this
guy	NN	guy
be	VB	be
forced	VBN	force
to	TO	to
do	VB	do
something	NN	something
he	PP	he
does	VBZ	do
n't	RB	n't
want	VB	want
to	TO	to
do	VB	do
?	SENT	?
this	DT	this
appears	VBZ	appear
to	TO	to
be	VB	be
one	CD	one
of	IN	of
the	DT	the
million	CD	million
questions	NNS	question
in	IN	in
this	DT	this
film	NN	film
,	,	,
which	WDT	which
is	VBZ	be
jam-packed	JJ	jam-packed
with	IN	with
greatness	NN	greatness
,	,	,
but	CC	but
does	VBZ	do
not	RB	not
have	VB	have
the	DT	the
totally	RB	totally
brilliant	JJ	brilliant
whole	NN	whole
it	PP	it
should	MD	should
.	SENT	.
i	NNS	i
'm	VBP	be
not	RB	not
saying	VBG	say
"	``	"
good	JJ	good
will	NN	will
hunting	NN	hunting
"	``	"
is	VBZ	be
a	DT	a
bad	JJ	bad
film	NN	film
at	IN	at
all	DT	all
.	SENT	.
it	PP	it
's	VBZ	be
a	DT	a
very	RB	very
enjoyable	JJ	enjoyable
film	NN	film
with	IN	with
tons	NNS	ton
of	IN	of
great	JJ	great
moments	NNS	moment
,	,	,
and	CC	and
lots	NNS	lot
of	IN	of
great	JJ	great
things	NNS	thing
about	IN	about
it	PP	it
.	SENT	.
the	DT	the
acting	NN	acting
is	VBZ	be
amazing	JJ	amazing
,	,	,
with	IN	with
two	CD	two
oscar-nomination-worthy	JJ	<unknown>
performances	NNS	performance
from	IN	from
damon	NP	Damon
and	CC	and
