when	WRB	when
i	NP	i
was	VBD	be
growing	VBG	grow
up	RP	up
in	IN	in
1970s	NNS	1970s
,	,	,
boys	NNS	boy
in	IN	in
my	PP$	my
school	NN	school
used	VBN	use
to	TO	to
divide	VB	divide
into	IN	into
two	CD	two
groups	NNS	group
,	,	,
based	VBN	base
on	IN	on
their	PP$	their
action	NN	action
movies	NNS	movie
preferences	NNS	preference
.	SENT	.
the	DT	the
first	JJ	first
one	CD	one
,	,	,
myself	PP	myself
included	VBD	include
,	,	,
liked	VBD	like
movies	NNS	movie
that	WDT	that
featured	VBD	feature
spectacular	JJ	spectacular
car	NN	car
chases	NNS	chase
,	,	,
lots	NNS	lot
of	IN	of
machinegun	VBP	machinegun
fire	NN	fire
and	CC	and
huge	JJ	huge
explosions	NNS	explosion
.	SENT	.
the	DT	the
latter	JJ	latter
one	CD	one
preferred	JJ	preferred
hong	NN	hong
kong	VBZ	<unknown>
martial	JJ	martial
arts	NNS	art
flicks	NNS	flick
,	,	,
probably	RB	probably
because	IN	because
they	PP	they
could	MD	could
(	(	(
or	CC	or
,	,	,
to	TO	to
be	VB	be
more	RBR	more
precise	JJ	precise
,	,	,
thought	VBD	think
they	PP	they
could	MD	could
)	)	)
imitate	VBP	imitate
its	PP$	its
stunts	NNS	stunt
in	IN	in
the	DT	the
real	JJ	real
life	NN	life
.	SENT	.
decades	NNS	decade
later	RBR	later
,	,	,
while	IN	while
refining	VBG	refine
my	PP$	my
own	JJ	own
cinematic	JJ	cinematic
taste	NN	taste
,	,	,
i	NP	i
began	VBD	begin
to	TO	to
appreciate	VB	appreciate
and	CC	and
actually	RB	actually
like	IN	like
those	DT	those
movies	NNS	movie
,	,	,
probably	RB	probably
because	IN	because
of	IN	of
overexposure	NN	overexposure
to	TO	to
shoot-em-up	JJ	<unknown>
idiocy	NN	idiocy
of	IN	of
1980s	NNS	1980s
ramboids	NNS	<unknown>
.	SENT	.
yes	UH	yes
,	,	,
most	JJS	most
of	IN	of
the	DT	the
kung	NP	kung
fu	NP	fu
and	CC	and
other	JJ	other
"	``	"
martial	JJ	martial
arts	NNS	art
"	''	"
flicks	NNS	flick
were	VBD	be
cheap	JJ	cheap
,	,	,
they	PP	they
had	VBD	have
predictable	JJ	predictable
and	CC	and
formulaic	JJ	formulaic
plot	NN	plot
,	,	,
and	CC	and
asked	VBD	ask
very	RB	very
little	JJ	little
of	IN	of
production	NN	production
values	NNS	value
aside	RB	aside
from	IN	from
martial	JJ	martial
arts	NNS	art
skills	NNS	skill
.	SENT	.
but	CC	but
,	,	,
in	IN	in
the	DT	the
same	JJ	same
time	NN	time
,	,	,
those	DT	those
movies	NNS	movie
had	VBD	have
their	PP$	their
own	JJ	own
rules	NNS	rule
and	CC	and
in	IN	in
the	DT	the
hands	NNS	hand
of	IN	of
capable	JJ	capable
director	NN	director
could	MD	could
become	VB	become
a	DT	a
terrific	JJ	terrific
guilty	JJ	guilty
pleasure	NN	pleasure
and	CC	and
source	NN	source
of	IN	of
relaxation	NN	relaxation
.	SENT	.
the	DT	the
best	JJS	good
of	IN	of
those	DT	those
movies	NNS	movie
,	,	,
one	CD	one
that	WDT	that
passed	VBD	pass
the	DT	the
test	NN	test
of	IN	of
time	NN	time
and	CC	and
managed	VBD	manage
to	TO	to
keep	VB	keep
its	PP$	its
own	JJ	own
cult	NN	cult
status	NN	status
after	IN	after
quarter	NN	quarter
of	IN	of
century	NN	century
was	VBD	be
enter	VB	enter
the	DT	the
dragon	NN	dragon
.	SENT	.
made	VBN	make
in	IN	in
1973	CD	@card@
in	IN	in
a	DT	a
joint	JJ	joint
hong	NN	hong
kong	NNS	<unknown>
-	:	-
hollywood	NN	<unknown>
venture	NN	venture
,	,	,
it	PP	it
was	VBD	be
intended	VBN	intend
to	TO	to
bring	VB	bring
bruce	NN	<unknown>
lee	NN	lee
's	POS	's
skills	NNS	skill
and	CC	and
kung	NP	kung
fu	NP	fu
philosophy	NN	philosophy
to	TO	to
the	DT	the
western	JJ	western
audience	NN	audience
.	SENT	.
it	PP	it
succeeded	VBD	succeed
,	,	,
but	CC	but
it	PP	it
is	VBZ	be
still	RB	still
debatable	JJ	debatable
whether	IN	whether
by	IN	by
its	PP$	its
own	JJ	own
merit	NN	merit
or	CC	or
by	IN	by
the	DT	the
unfortunate	JJ	unfortunate
and	CC	and
mysterious	JJ	mysterious
death	NN	death
of	IN	of
bruce	NN	<unknown>
lee	NN	lee
that	WDT	that
immortalised	VBD	immortalise
the	DT	the
myth	NN	myth
about	IN	about
that	DT	that
actor	NN	actor
.	SENT	.
lee	NN	lee
plays	VBZ	play
a	DT	a
quiet	JJ	quiet
shaolin	NN	<unknown>
monk	NN	monk
who	WP	who
is	VBZ	be
a	DT	a
martial	JJ	martial
arts	NNS	art
expert	NN	expert
.	SENT	.
he	PP	he
is	VBZ	be
approached	VBN	approach
by	IN	by
interpol	NP	Interpol
official	NN	official
who	WP	who
asks	VBZ	ask
him	PP	him
to	TO	to
join	VB	join
tri-annual	JJ	<unknown>
martial	JJ	martial
arts	NNS	art
tournament	NN	tournament
that	WDT	that
is	VBZ	be
held	VBN	hold
on	IN	on
a	DT	a
remote	JJ	remote
island	NN	island
,	,	,
owned	VBN	own
and	CC	and
controlled	VBN	control
by	IN	by
han	NP	han
,	,	,
renegade	NN	renegade
shaolin	NN	<unknown>
monk	NN	monk
.	SENT	.
interpol	NP	Interpol
suspects	VBZ	suspect
that		IN	that
the	DT	the
martial	JJ	martial
arts	NNS	art
business	NN	business
is	VBZ	be
just	RB	just
cover	VB	cover
for	IN	for
narcotics	NNS	narcotic
,	,	,
gun-running	NN	gun-running
and	CC	and
prostitution	NN	prostitution
operations	NNS	operation
and	CC	and
lee	NN	lee
must	MD	must
find	VB	find
the	DT	the
evidence	NN	evidence
necessary	JJ	necessary
for	IN	for
authorities	NNS	authority
to	TO	to
intervene	VB	intervene
.	SENT	.
lee	NN	lee
accepts	VBZ	accept
the	DT	the
mission	NN	mission
because	IN	because
of	IN	of
personal	JJ	personal
reasons	NNS	reason
-	:	-
o'harra	NP	<unknown>
,	,	,
han	NP	han
's	POS	's
brutal	JJ	brutal
bodyguard	NN	bodyguard
was	VBD	be
responsible	JJ	responsible
for	IN	for
the	DT	the
tragic	JJ	tragic
death	NN	death
of	IN	of
lee	NN	lee
's	POS	's
sister	NN	sister
years	NNS	year
ago	RB	ago
.	SENT	.
the	DT	the
island	NN	island
is	VBZ	be
also	RB	also
destination	NN	destination
of	IN	of
two	CD	two
colourful	JJ	colourful
martial	JJ	martial
arts	NNS	art
experts	NNS	expert
from	IN	from
us	PP	us
-	:	-
williams	NP	Williams
(	(	(
played	VBN	play
by	IN	by
jim	NN	<unknown>
kelly	NN	<unknown>
)	)	)
is	VBZ	be
black	JJ	black
activist	NN	activist
running	VBG	run
from	IN	from
the	DT	the
racist	JJ	racist
police	NN	police
,	,	,
and	CC	and
his	PP$	his
friend	NN	friend
roper	NN	<unknown>
wants	VBZ	want
to	TO	to
make	VB	make
money	NN	money
in	IN	in
order	NN	order
to	TO	to
pay	VB	pay
gambling	NN	gambling
debts	NNS	debt
.	SENT	.
the	DT	the
plot	NN	plot
of	IN	of
enter	VB	enter
the	DT	the
dragon	NN	dragon
was	VBD	be
in	IN	in
many	JJ	many
ways	NNS	way
influenced	VBN	influence
by	IN	by
james	NNS	<unknown>
bond	NN	bond
(	(	(
the	DT	the
007	CD	@card@
franchise	NN	franchise
itself	PP	itself
would	MD	would
return	VB	return
favour	NN	favour
by	IN	by
using	VBG	use
kung	NP	kung
fu	NP	fu
elements	NNS	element
in	IN	in
the	DT	the
man	NN	man
with	IN	with
the	DT	the
golden	JJ	golden
gun	NN	gun
two	CD	two
years	NNS	year
later	RBR	later
)	)	)
.	SENT	.
the	DT	the
main	JJ	main
hero	NN	hero
was	VBD	be
faced	VBN	face
against	IN	against
a	DT	a
power-hungry	JJ	power-hungry
megalomaniac	NN	megalomaniac
on	IN	on
a	DT	a
remote	JJ	remote
island	NN	island
,	,	,
alone	RB	alone
against	IN	against
whole	JJ	whole
army	NN	army
of	IN	of
bad	JJ	bad
guys	NNS	guy
.	SENT	.
on	IN	on
the	DT	the
other	JJ	other
hand	NN	hand
,	,	,
lee	NN	lee
was	VBD	be
more	RBR	more
believable	JJ	believable
hero	NN	hero
than	IN	than
bond	NN	bond
;	:	;
deprived	VBN	deprive
of	IN	of
guns	NNS	gun
and	CC	and
super-tech	NN	<unknown>
gadgets	NNS	gadget
,	,	,
he	PP	he
had	VBD	have
to	TO	to
rely	VB	rely
only	RB	only
on	IN	on
his	PP$	his
personal	JJ	personal
skills	NNS	skill
in	IN	in
order	NN	order
to	TO	to
survive	VB	survive
.	SENT	.
in	IN	in
the	DT	the
same	JJ	same
time	NN	time
,	,	,
the	DT	the
plot	NN	plot
,	,	,
although	IN	although
extremely	RB	extremely
thin	JJ	thin
,	,	,
allowed	VBD	allow
him	PP	him
even	RB	even
some	DT	some
internal	JJ	internal
battles	NNS	battle
-	:	-
between	IN	between
the	DT	the
natural	JJ	natural
instinct	NN	instinct
to	TO	to
avenge	VB	avenge
his	PP$	his
sister	NN	sister
and	CC	and
his	PP$	his
own	JJ	own
anti-violent	JJ	<unknown>
philosophy	NN	philosophy
.	SENT	.
the	DT	the
latter	NN	latter
provided	VBD	provide
some	DT	some
opportunities	NNS	opportunity
to	TO	to
evaluate	VB	evaluate
lee	NN	lee
's	POS	's
acting	VBG	act
skills	NNS	skill
and	CC	and
some	DT	some
new	JJ	new
elements	NNS	element
to	TO	to
his	PP$	his
impressive	JJ	impressive
screen	NN	screen
presence	NN	presence
.	SENT	.
although	IN	although
two	CD	two
other	JJ	other
main	JJ	main
actors	NNS	actor
-	:	-
john	NN	john
saxon	NN	Saxon
being	VBG	be
the	DT	the
obligatory	JJ	obligatory
good	JJ	good
white	JJ	white
guy	NN	guy
and	CC	and
jim	NN	<unknown>
kelly	NN	<unknown>
being	VBG	be
the	DT	the
obligatory	JJ	obligatory
black	JJ	black
good	JJ	good
guy	NN	guy
-	:	-
were	VBD	be
intended	VBN	intend
to	TO	to
share	VB	share
top	JJ	top
spot	NN	spot
with	IN	with
lee	NN	lee
,	,	,
they	PP	they
served	VBD	serve
as	IN	as
nothing	NN	nothing
more	RBR	more
than	IN	than
a	DT	a
comic	JJ	comic
relief	NN	relief
.	SENT	.
it	PP	it
is	VBZ	be
a	DT	a
real	JJ	real
shame	NN	shame
to	TO	to
see	VB	see
kelly	JJ	<unknown>
,	,	,
definitely	RB	definitely
the	DT	the
worse	JJR	bad
actor	NN	actor
than	IN	than
saxon	NN	Saxon
,	,	,
to	TO	to
steal	VB	steal
the	DT	the
scenes	NNS	scene
from	IN	from
him	PP	him
only	RB	only
because	IN	because
his	PP$	his
lines	NNS	line
,	,	,
being	VBG	be
the	DT	the
worst	JJS	bad
possible	JJ	possible
blaxploitation	NN	<unknown>
cliches	NNS	clich
,	,	,
sound	VB	sound
so	RB	so
damn	RB	damn
over	IN	over
the	DT	the
top	NN	top
.	SENT	.
other	JJ	other
actors	NNS	actor
,	,	,
not	RB	not
including	VBG	include
