there	EX	there
exists	VBZ	exist
a	DT	a
litany	NN	litany
of	IN	of
differences	NNS	difference
between	IN	between
a	DT	a
successful	JJ	successful
action	NN	action
movie	NN	movie
and	CC	and
a	DT	a
successful	JJ	successful
suspense	NN	suspense
movie	NN	movie
.	SENT	.
action	NN	action
movies	NNS	movie
are	VBP	be
typically	RB	typically
devoid	JJ	devoid
of	IN	of
plot	NN	plot
other	JJ	other
than	IN	than
a	DT	a
simple	JJ	simple
byline	NN	byline
which	WDT	which
can	MD	can
string	VB	string
together	RB	together
several	JJ	several
explosive	JJ	explosive
sequences	NNS	sequence
,	,	,
while	IN	while
suspense	NN	suspense
movies	NNS	movie
hinge	VBP	hinge
on	IN	on
plot	NN	plot
and	CC	and
subtlety	NN	subtlety
and	CC	and
the	DT	the
ability	NN	ability
to	TO	to
bring	VB	bring
everything	NN	everything
full-circle	NN	full-circle
.	SENT	.
for	IN	for
fans	NNS	fan
of	IN	of
both	DT	both
genres	NNS	genre
,	,	,
however	RB	however
,	,	,
realism	NN	realism
is	VBZ	be
key	JJ	key
.	SENT	.
action	NN	action
fans	NNS	fan
want	VBP	want
to	TO	to
know	VB	know
that		IN	that
the	DT	the
weapons	NNS	weapon
and	CC	and
methods	NNS	method
their	PP$	their
heroes	NNS	hero
are	VBP	be
using	VBG	use
are	VBP	be
authentic	JJ	authentic
,	,	,
and	CC	and
suspense	NN	suspense
fans	NNS	fan
want	VBP	want
everything	NN	everything
to	TO	to
fall	VB	fall
into	IN	into
an	DT	an
explainable	JJ	explainable
framework	NN	framework
by	IN	by
the	DT	the
movie	NN	movie
's	POS	's
end	NN	end
.	SENT	.
on	IN	on
this	DT	this
advice	NN	advice
,	,	,
director	NN	director
john	NN	john
frankenheimer	NNS	<unknown>
(	(	(
the	DT	the
island	NN	island
of	IN	of
dr	NN	Dr
.	SENT	.
moreau	NP	Moreau
)	)	)
strives	VBZ	strive
for	IN	for
realism	NN	realism
in	IN	in
an	DT	an
interestingly	RB	interestingly
dynamic	JJ	dynamic
balance	NN	balance
of	IN	of
suspense	NN	suspense
and	CC	and
action	NN	action
for	IN	for
his	PP$	his
latest	JJS	late
thriller	NN	thriller
,	,	,
ronin	NN	ronin
.	SENT	.
the	DT	the
depth	NN	depth
of	IN	of
intrigue	NN	intrigue
in	IN	in
ronin	NN	ronin
is	VBZ	be
quite	RB	quite
amazing	JJ	amazing
,	,	,
considering	VBG	consider
the	DT	the
fare	NN	fare
that	WDT	that
's	VBZ	be
fallen	VBN	fall
into	IN	into
the	DT	the
same	JJ	same
category	NN	category
over	IN	over
the	DT	the
last	JJ	last
few	JJ	few
years	NNS	year
.	SENT	.
the	DT	the
script	NN	script
,	,	,
written	VBN	write
by	IN	by
j	NN	j
.	SENT	.
d	LS	d
.	SENT	.
zeik	NN	<unknown>
in	IN	in
his	PP$	his
big-screen	NN	big-screen
debut	NN	debut
,	,	,
approaches	VBZ	approach
levels	NNS	level
of	IN	of
complexity	NN	complexity
that	WDT	that
had	VBD	have
people	NNS	people
spinning	VBG	spin
away	RB	away
from	IN	from
mission	NN	mission
:	:	:
impossible	JJ	impossible
two	CD	two
years	NNS	year
ago	RB	ago
.	SENT	.
a	DT	a
certain	JJ	certain
number	NN	number
of	IN	of
people	NNS	people
will	MD	will
be	VB	be
lost	VBN	lose
by	IN	by
this	DT	this
,	,	,
but	CC	but
afficianados	NNS	<unknown>
will	MD	will
appreciate	VB	appreciate
it	PP	it
all	PDT	all
the	DT	the
more	JJR	more
and	CC	and
return	VB	return
multiple	JJ	multiple
times	NNS	time
.	SENT	.
frankenheimer	NP	Frankenheimer
masters	VBZ	master
the	DT	the
script	NN	script
with	IN	with
poise	NN	poise
,	,	,
and	CC	and
tells	VBZ	tell
us	PP	us
a	DT	a
dark	JJ	dark
but	CC	but
stoically	RB	stoically
realistic	JJ	realistic
tale	NN	tale
of	IN	of
a	DT	a
group	NN	group
of	IN	of
post-cold	JJ	<unknown>
war	NN	war
mercenaries	NNS	mercenary
working	VBG	work
to	TO	to
earn	VB	earn
their	PP$	their
paycheck	NN	paycheck
.	SENT	.
his	PP$	his
ability	NN	ability
to	TO	to
convey	VB	convey
feeling	NN	feeling
and	CC	and
character	NN	character
while	IN	while
promoting	VBG	promote
explosiveness	NN	explosiveness
and	CC	and
tense	JJ	tense
atmosphere	NN	atmosphere
works	VBZ	work
well	RB	well
here	RB	here
,	,	,
and	CC	and
ronin	NN	ronin
becomes	VBZ	become
a	DT	a
better	JJR	good
movie	NN	movie
because	IN	because
of	IN	of
it	PP	it
.	SENT	.
robert	NP	Robert
de	NP	de
niro	NP	Niro
headlines	VBZ	headline
this	DT	this
cast	NN	cast
of	IN	of
noteworthies	NNS	<unknown>
in	IN	in
a	DT	a
performance	NN	performance
that	WDT	that
is	VBZ	be
the	DT	the
most	RBS	most
outstanding	JJ	outstanding
of	IN	of
his	PP$	his
in	IN	in
quite	PDT	quite
some	DT	some
time	NN	time
.	SENT	.
he	PP	he
takes	VBZ	take
command	NN	command
and	CC	and
offers	VBZ	offer
much	JJ	much
gravity	NN	gravity
as	IN	as
the	DT	the
ex-spy	JJ	<unknown>
sam	NN	<unknown>
,	,	,
a	DT	a
man	NN	man
who	WP	who
's	VBZ	be
called	VBN	call
to	TO	to
france	NN	<unknown>
to	TO	to
help	VB	help
a	DT	a
