`	``	`
strange	JJ	strange
days	NNS	day
'	''	'
chronicles	VBZ	chronicle
the	DT	the
last	JJ	last
two	CD	two
days	NNS	day
of	IN	of
1999	CD	@card@
in	IN	in
los	NP	los
angeles	NNS	<unknown>
.	SENT	.
as	IN	as
the	DT	the
locals	NNS	local
gear	VBP	gear
up	RP	up
for	IN	for
the	DT	the
new	JJ	new
millenium	NN	<unknown>
,	,	,
lenny	NN	<unknown>
nero	NN	Nero
(	(	(
ralph	NN	<unknown>
fiennes	NNS	<unknown>
)	)	)
goes	VBZ	go
about	IN	about
his	PP$	his
business	NN	business
of	IN	of
peddling	VBG	peddle
erotic	JJ	erotic
memory	NN	memory
clips	NNS	clip
.	SENT	.
he	PP	he
pines	VBZ	pine
for	IN	for
his	PP$	his
ex-girlfriend	NN	<unknown>
,	,	,
faith	NN	faith
(	(	(
juliette	NN	<unknown>
lewis	NN	lewis
)	)	)
,	,	,
not	RB	not
noticing	VBG	notice
that		IN	that
another	DT	another
friend	NN	friend
,	,	,
mace	NN	mace
(	(	(
angela	NP	Angela
bassett	NP	Bassett
)	)	)
really	RB	really
cares	VBZ	care
for	IN	for
him	PP	him
.	SENT	.
this	DT	this
film	NN	film
features	VBZ	feature
good	JJ	good
performances	NNS	performance
,	,	,
impressive	JJ	impressive
film-making	NN	film-making
technique	NN	technique
and	CC	and
breath-taking	NN	breath-taking
crowd	NN	crowd
scenes	NNS	scene
.	SENT	.
director	NN	director
kathryn	NP	Kathryn
bigelow	NP	Bigelow
knows	VBZ	know
her	PP$	her
stuff	NN	stuff
and	CC	and
does	VBZ	do
not	RB	not
hesitate	VB	hesitate
to	TO	to
use	VB	use
it	PP	it
.	SENT	.
but	CC	but
as	IN	as
a	DT	a
whole	NN	whole
,	,	,
this	DT	this
is	VBZ	be
an	DT	an
unsatisfying	VBG	unsatisfy
movie	NN	movie
.	SENT	.
the	DT	the
problem	NN	problem
is	VBZ	be
that		IN	that
the	DT	the
writers	NNS	writer
,	,	,
james	NNS	<unknown>
cameron	NN	<unknown>
and	CC	and
jay	NN	jay
cocks	NNS	cock
,	,	,
were	VBD	be
too	RB	too
ambitious	JJ	ambitious
,	,	,
aiming	VBG	aim
for	IN	for
a	DT	a
film	NN	film
with	IN	with
social	JJ	social
relevance	NN	relevance
,	,	,
thrills	VBZ	thrill
,	,	,
and	CC	and
drama	NN	drama
.	SENT	.
not	RB	not
that	DT	that
ambitious	JJ	ambitious
film-making	NN	film-making
should	MD	should
be	VB	be
discouraged	VBN	discourage
;	:	;
just	RB	just
that		IN	that
when	WRB	when
it	PP	it
fails	VBZ	fail
to	TO	to
achieve	VB	achieve
its	PP$	its
goals	NNS	goal
,	,	,
it	PP	it
fails	VBZ	fail
badly	RB	badly
and	CC	and
obviously	RB	obviously
.	SENT	.
the	DT	the
film	NN	film
just	RB	just
ends	VBZ	end
up	RB	up
preachy	JJ	preachy
,	,	,
unexciting	VBG	unexcite
and	CC	and
uninvolving	VBG	<unknown>
.	SENT	.
