there	EX	there
's	VBZ	be
good	JJ	good
news	NN	news
and	CC	and
bad	JJ	bad
news	NN	news
about	IN	about
mulan	NN	<unknown>
.	SENT	.
the	DT	the
positive	NN	positive
is	VBZ	be
that		IN	that
disney	NP	Disney
has	VBZ	have
found	VBN	find
a	DT	a
happy	JJ	happy
medium	NN	medium
between	IN	between
the	DT	the
heavy-handedness	NN	heavy-handedness
of	IN	of
pocahontas	NNS	<unknown>
and	CC	and
the	DT	the
hunchback	NN	hunchback
of	IN	of
notre	NN	<unknown>
dame	NN	dame
and	CC	and
the	DT	the
childishness	NN	childishness
of	IN	of
hercules	NNS	Hercule
.	SENT	.
on	IN	on
the	DT	the
other	JJ	other
hand	NN	hand
,	,	,
the	DT	the
studio	NN	studio
is	VBZ	be
pulling	VBG	pull
out	IN	out
all	PDT	all
the	DT	the
stops	NNS	stop
on	IN	on
plot	NN	plot
cliches	NNS	clich
and	CC	and
cheap	JJ	cheap
laughs	NNS	laugh
,	,	,
several	JJ	several
steps	NNS	step
down	RB	down
from	IN	from
the	DT	the
days	NNS	day
of	IN	of
the	DT	the
little	JJ	little
mermaid	NN	mermaid
and	CC	and
beauty	NN	beauty
and	CC	and
the	DT	the
beast	NN	beast
.	SENT	.
but	CC	but
mulan	NP	<unknown>
is	VBZ	be
a	DT	a
step	NN	step
in	IN	in
the	DT	the
right	JJ	right
direction	NN	direction
and	CC	and
disney	NN	<unknown>
's	POS	's
best	JJS	good
animated	JJ	animated
feature	NN	feature
since	IN	since
the	DT	the
lion	NN	lion
king	NN	king
.	SENT	.
after	IN	after
giving	VBG	give
native	JJ	native
americans	NNS	American
a	DT	a
turn	NN	turn
in	IN	in
pocahontas	NNS	<unknown>
,	,	,
disney	NP	Disney
has	VBZ	have
decided	VBN	decide
to	TO	to
turn	VB	turn
a	DT	a
movie	NN	movie
over	IN	over
to	TO	to
the	DT	the
asians	NNS	Asian
.	SENT	.
mulan	NN	<unknown>
is	VBZ	be
set	VBN	set
in	IN	in
feudal	JJ	feudal
china	NN	china
and	CC	and
features	VBZ	feature
the	DT	the
ever-popular	JJ	ever-popular
heroine	NN	heroine
who	WP	who
marches	VBZ	march
to	TO	to
a	DT	a
different	JJ	different
drum	NN	drum
and	CC	and
wants	VBZ	want
to	TO	to
do	VB	do
more	JJR	more
with	IN	with
her	PP$	her
life	NN	life
than	IN	than
get	VB	get
married	VBN	marry
.	SENT	.
that	DT	that
's	VBZ	be
what	WP	what
we	PP	we
find	VBP	find
out	RB	out
when	WRB	when
young	JJ	young
mulan	NN	<unknown>
(	(	(
voice	NN	voice
of	IN	of
ming-	NN	<unknown>
na	TO	na
wen	NN	wen
)	)	)
screws	VBZ	screw
up	RP	up
her	PP$	her
appointment	NN	appointment
with	IN	with
the	DT	the
matchmaker	NN	matchmaker
by	IN	by
letting	VBG	let
a	DT	a
rogue	NN	rogue
cricket	NN	cricket
splash	NN	splash
coffee	NN	coffee
all	RB	all
over	IN	over
her	PP	her
.	SENT	.
cartoons	NNS	cartoon
.	SENT	.
.	SENT	.
.	SENT	.
meanwhile	RB	meanwhile
,	,	,
word	NN	word
comes	VBZ	come
from	IN	from
the	DT	the
emporer	NN	<unknown>
that		IN	that
one	CD	one
man	NN	man
from	IN	from
every	DT	every
family	NN	family
must	MD	must
join	VB	join
the	DT	the
army	NN	army
and	CC	and
help	VB	help
fight	VB	fight
the	DT	the
huns	NNS	Hun
.	SENT	.
since	IN	since
mulan	NN	<unknown>
's	VBZ	be
a	DT	a
girl	NN	girl
,	,	,
that	WDT	that
means	VBZ	mean
her	PP$	her
decrepit	JJ	decrepit
old	JJ	old
father	NN	father
must	MD	must
go	VB	go
.	SENT	.
she	PP	she
pleads	VBZ	plead
with	IN	with
the	DT	the
soldiers	NNS	soldier
to	TO	to
have	VB	have
mercy	NN	mercy
on	IN	on
dear	JJ	dear
old	JJ	old
dad	NN	dad
,	,	,
but	CC	but
that	DT	that
kind	NN	kind
of	IN	of
groveling	VBG	grovel
and	CC	and
desperation	NN	desperation
brings	VBZ	bring
shame	NN	shame
on	IN	on
her	PP$	her
family	NN	family
.	SENT	.
that	DT	that
's	VBZ	be
chinese	JJ	Chinese
culture	NN	culture
for	IN	for
you	PP	you
.	SENT	.
.	SENT	.
.	SENT	.
so	RB	so
imagine	VB	imagine
how	WRB	how
embarrassed	JJ	embarrassed
the	DT	the
family	NN	family
is	VBZ	be
the	DT	the
next	JJ	next
day	NN	day
when	WRB	when
they	PP	they
find	VBP	find
mulan	NN	<unknown>
has	VBZ	have
stolen	VBN	steal
her	PP$	her
father	NN	father
's	POS	's
uniform	NN	uniform
and	CC	and
sword	NN	sword
and	CC	and
run	VB	run
off	RP	off
to	TO	to
join	VB	join
the	DT	the
army	NN	army
in	IN	in
his	PP$	his
place	NN	place
.	SENT	.
the	DT	the
movie	NN	movie
in	IN	in
a	DT	a
nutshell	NN	nutshell
is	VBZ	be
about	RB	about
the	DT	the
stuggles	NNS	<unknown>
of	IN	of
being	VBG	be
a	DT	a
woman	NN	woman
in	IN	in
the	DT	the
army	NN	army
.	SENT	.
it	PP	it
should	MD	should
have	VB	have
been	VBN	be
called	VBN	call
g	NN	g
.	SENT	.
i	NP	i
.	SENT	.
chang	NN	<unknown>
.	SENT	.
mulan	JJ	<unknown>
calls	NNS	call
on	IN	on
her	PP$	her
ancestors	NNS	ancestor
for	IN	for
help	NN	help
.	SENT	.
they	PP	they
decide	VBP	decide
to	TO	to
summon	VB	summon
the	DT	the
large	JJ	large
stone	NN	stone
dragon	NN	dragon
in	IN	in
the	DT	the
backyard	NN	backyard
to	TO	to
protect	VB	protect
her	PP	her
,	,	,
but	CC	but
a	DT	a
mini	JJ	mini
dragon	NN	dragon
named	VBN	name
mushu	NP	<unknown>
screws	VBZ	screw
it	PP	it
up	RP	up
.	SENT	.
voiced	VBN	voice
by	IN	by
eddie	NN	<unknown>
murphy	NN	murphy
,	,	,
mushu	NP	<unknown>
continues	VBZ	continue
the	DT	the
tradition	NN	tradition
of	IN	of
cute	JJ	cute
talking	VBG	talk
animal	NN	animal
sidekicks	NNS	sidekick
who	WP	who
do	VBP	do
more	JJR	more
slapstick	NN	slapstick
harm	NN	harm
than	IN	than
good	JJ	good
for	IN	for
their	PP$	their
human	JJ	human
charges	NNS	charge
.	SENT	.
murphy	NN	murphy
's	POS	's
performance	NN	performance
is	VBZ	be
a	DT	a
direct	JJ	direct
descendent	NN	descendent
of	IN	of
robin	NN	robin
williams	NNS	<unknown>
in	IN	in
aladdin	NN	<unknown>
--	:	--
lots	NNS	lot
of	IN	of
wisecracks	NNS	wisecrack
and	CC	and
ad-libs	NNS	ad-lib
and	CC	and
even	RB	even
an	DT	an
introductory	JJ	introductory
song	NN	song
about	IN	about
how	WRB	how
much	JJ	much
fun	NN	fun
they	PP	they
're	VBP	be
going	VBG	go
to	TO	to
have	VB	have
.	SENT	.
you	PP	you
ai	VBP	ai
n't	RB	n't
never	RB	never
had	VBD	have
a	DT	a
